"Abrangência";"Partido";"Eleitores";"%"
"AC";"AVANTE";"664";"0,004"
"AC";"DC";"1.250";"0,007"
"AC";"DEM";"3.104";"0,018"
"AC";"MDB";"8.728";"0,052"
"AC";"NOVO";"22";"0,000"
"AC";"PATRI";"270";"0,002"
"AC";"PC DO B";"8.168";"0,049"
"AC";"PCB";"84";"0,001"
"AC";"PCO";"25";"0,000"
"AC";"PDT";"2.207";"0,013"
"AC";"PHS";"2.806";"0,017"
"AC";"PMB";"1.253";"0,007"
"AC";"PMN";"1.260";"0,008"
"AC";"PODE";"1.391";"0,008"
"AC";"PP";"6.041";"0,036"
"AC";"PPL";"68";"0,000"
"AC";"PPS";"1.515";"0,009"
"AC";"PR";"1.910";"0,011"
"AC";"PRB";"1.798";"0,011"
"AC";"PROS";"1.117";"0,007"
"AC";"PRP";"719";"0,004"
"AC";"PRTB";"1.356";"0,008"
"AC";"PSB";"3.972";"0,024"
"AC";"PSC";"1.537";"0,009"
"AC";"PSD";"1.046";"0,006"
"AC";"PSDB";"6.012";"0,036"
"AC";"PSL";"448";"0,003"
"AC";"PSOL";"1.602";"0,010"
"AC";"PSTU";"75";"0,000"
"AC";"PT";"10.388";"0,062"
"AC";"PTB";"2.016";"0,012"
"AC";"PTC";"1.119";"0,007"
"AC";"PV";"1.831";"0,011"
"AC";"REDE";"110";"0,001"
"AC";"SD";"450";"0,003"
"AL";"AVANTE";"4.381";"0,026"
"AL";"DC";"2.454";"0,015"
"AL";"DEM";"10.213";"0,061"
"AL";"MDB";"16.164";"0,096"
"AL";"NOVO";"101";"0,001"
"AL";"PATRI";"919";"0,005"
"AL";"PC DO B";"3.485";"0,021"
"AL";"PCB";"32";"0,000"
"AL";"PCO";"66";"0,000"
"AL";"PDT";"9.738";"0,058"
"AL";"PHS";"3.624";"0,022"
"AL";"PMB";"288";"0,002"
"AL";"PMN";"3.813";"0,023"
"AL";"PODE";"2.628";"0,016"
"AL";"PP";"15.530";"0,093"
"AL";"PPL";"853";"0,005"
"AL";"PPS";"5.994";"0,036"
"AL";"PR";"9.164";"0,055"
"AL";"PRB";"5.068";"0,030"
"AL";"PROS";"1.242";"0,007"
"AL";"PRP";"8.244";"0,049"
"AL";"PRTB";"3.205";"0,019"
"AL";"PSB";"14.020";"0,084"
"AL";"PSC";"6.503";"0,039"
"AL";"PSD";"3.408";"0,020"
"AL";"PSDB";"12.789";"0,076"
"AL";"PSL";"4.285";"0,026"
"AL";"PSOL";"2.421";"0,014"
"AL";"PSTU";"239";"0,001"
"AL";"PT";"9.947";"0,059"
"AL";"PTB";"10.692";"0,064"
"AL";"PTC";"2.592";"0,015"
"AL";"PV";"4.219";"0,025"
"AL";"REDE";"130";"0,001"
"AL";"SD";"4.720";"0,028"
"AM";"AVANTE";"3.788";"0,023"
"AM";"DC";"4.821";"0,029"
"AM";"DEM";"11.685";"0,070"
"AM";"MDB";"14.578";"0,087"
"AM";"NOVO";"101";"0,001"
"AM";"PATRI";"2.627";"0,016"
"AM";"PC DO B";"20.954";"0,125"
"AM";"PCB";"898";"0,005"
"AM";"PCO";"162";"0,001"
"AM";"PDT";"7.629";"0,045"
"AM";"PHS";"7.319";"0,044"
"AM";"PMB";"2.453";"0,015"
"AM";"PMN";"5.448";"0,032"
"AM";"PODE";"5.243";"0,031"
"AM";"PP";"13.474";"0,080"
"AM";"PPL";"859";"0,005"
