"UF";"Abrangência";"Partido";"Eleitores";"%"
"AC";"ACRELÂNDIA";"AVANTE";"20";"0,026"
"AC";"ACRELÂNDIA";"CIDADANIA";"13";"0,017"
"AC";"ACRELÂNDIA";"DC";"34";"0,044"
"AC";"ACRELÂNDIA";"DEM";"116";"0,150"
"AC";"ACRELÂNDIA";"MDB";"136";"0,176"
"AC";"ACRELÂNDIA";"PATRIOTA";"6";"0,008"
"AC";"ACRELÂNDIA";"PCB";"3";"0,004"
"AC";"ACRELÂNDIA";"PCDOB";"74";"0,096"
"AC";"ACRELÂNDIA";"PCO";"3";"0,004"
"AC";"ACRELÂNDIA";"PDT";"73";"0,094"
"AC";"ACRELÂNDIA";"PL";"50";"0,065"
"AC";"ACRELÂNDIA";"PMB";"2";"0,003"
"AC";"ACRELÂNDIA";"PMN";"49";"0,063"
"AC";"ACRELÂNDIA";"PODE";"42";"0,054"
"AC";"ACRELÂNDIA";"PP";"326";"0,422"
"AC";"ACRELÂNDIA";"PROS";"55";"0,071"
"AC";"ACRELÂNDIA";"PRTB";"41";"0,053"
"AC";"ACRELÂNDIA";"PSB";"79";"0,102"
"AC";"ACRELÂNDIA";"PSC";"18";"0,023"
"AC";"ACRELÂNDIA";"PSD";"80";"0,104"
"AC";"ACRELÂNDIA";"PSDB";"108";"0,140"
"AC";"ACRELÂNDIA";"PSL";"9";"0,012"
"AC";"ACRELÂNDIA";"PSOL";"4";"0,005"
"AC";"ACRELÂNDIA";"PT";"290";"0,375"
"AC";"ACRELÂNDIA";"PTB";"25";"0,032"
"AC";"ACRELÂNDIA";"PTC";"22";"0,028"
"AC";"ACRELÂNDIA";"PV";"21";"0,027"
"AC";"ACRELÂNDIA";"REPUBLICANOS";"59";"0,076"
"AC";"ACRELÂNDIA";"SOLIDARIEDADE";"31";"0,040"
"AC";"ASSIS BRASIL";"AVANTE";"1";"0,001"
"AC";"ASSIS BRASIL";"CIDADANIA";"11";"0,014"
"AC";"ASSIS BRASIL";"DC";"1";"0,001"
"AC";"ASSIS BRASIL";"DEM";"41";"0,053"
"AC";"ASSIS BRASIL";"MDB";"135";"0,175"
"AC";"ASSIS BRASIL";"PATRIOTA";"9";"0,012"
"AC";"ASSIS BRASIL";"PCDOB";"437";"0,566"
"AC";"ASSIS BRASIL";"PDT";"19";"0,025"
"AC";"ASSIS BRASIL";"PL";"37";"0,048"
"AC";"ASSIS BRASIL";"PMN";"5";"0,006"
"AC";"ASSIS BRASIL";"PODE";"8";"0,010"
"AC";"ASSIS BRASIL";"PP";"98";"0,127"
"AC";"ASSIS BRASIL";"PROS";"9";"0,012"
"AC";"ASSIS BRASIL";"PSB";"61";"0,079"
"AC";"ASSIS BRASIL";"PSC";"14";"0,018"
"AC";"ASSIS BRASIL";"PSD";"97";"0,126"
"AC";"ASSIS BRASIL";"PSDB";"180";"0,233"
"AC";"ASSIS BRASIL";"PSL";"11";"0,014"
"AC";"ASSIS BRASIL";"PSOL";"18";"0,023"
"AC";"ASSIS BRASIL";"PT";"198";"0,256"
"AC";"ASSIS BRASIL";"PTB";"4";"0,005"
"AC";"ASSIS BRASIL";"PTC";"12";"0,016"
"AC";"ASSIS BRASIL";"PV";"12";"0,016"
"AC";"ASSIS BRASIL";"REPUBLICANOS";"9";"0,012"
"AC";"ASSIS BRASIL";"SOLIDARIEDADE";"1";"0,001"
"AC";"BRASILÉIA";"AVANTE";"9";"0,012"
"AC";"BRASILÉIA";"CIDADANIA";"17";"0,022"
"AC";"BRASILÉIA";"DC";"32";"0,041"
"AC";"BRASILÉIA";"DEM";"32";"0,041"
"AC";"BRASILÉIA";"MDB";"303";"0,392"
"AC";"BRASILÉIA";"PATRIOTA";"23";"0,030"
"AC";"BRASILÉIA";"PCB";"1";"0,001"
"AC";"BRASILÉIA";"PCDOB";"221";"0,286"
"AC";"BRASILÉIA";"PDT";"72";"0,093"
"AC";"BRASILÉIA";"PL";"66";"0,085"
