"UF";"Abrangência";"Partido";"Eleitores";"%"
"AL";"ÁGUA BRANCA";"DC";"16";"0,009"
"AL";"ÁGUA BRANCA";"DEM";"27";"0,015"
"AL";"ÁGUA BRANCA";"MDB";"186";"0,102"
"AL";"ÁGUA BRANCA";"PC DO B";"41";"0,022"
"AL";"ÁGUA BRANCA";"PDT";"64";"0,035"
"AL";"ÁGUA BRANCA";"PHS";"7";"0,004"
"AL";"ÁGUA BRANCA";"PMB";"6";"0,003"
"AL";"ÁGUA BRANCA";"PMN";"23";"0,013"
"AL";"ÁGUA BRANCA";"PODE";"44";"0,024"
"AL";"ÁGUA BRANCA";"PP";"166";"0,091"
"AL";"ÁGUA BRANCA";"PPL";"1";"0,001"
"AL";"ÁGUA BRANCA";"PPS";"87";"0,047"
"AL";"ÁGUA BRANCA";"PR";"123";"0,067"
"AL";"ÁGUA BRANCA";"PRB";"71";"0,039"
"AL";"ÁGUA BRANCA";"PROS";"6";"0,003"
"AL";"ÁGUA BRANCA";"PRP";"33";"0,018"
"AL";"ÁGUA BRANCA";"PRTB";"7";"0,004"
"AL";"ÁGUA BRANCA";"PSB";"123";"0,067"
"AL";"ÁGUA BRANCA";"PSC";"43";"0,023"
"AL";"ÁGUA BRANCA";"PSD";"8";"0,004"
"AL";"ÁGUA BRANCA";"PSDB";"64";"0,035"
"AL";"ÁGUA BRANCA";"PSL";"50";"0,027"
"AL";"ÁGUA BRANCA";"PT";"101";"0,055"
"AL";"ÁGUA BRANCA";"PTB";"19";"0,010"
"AL";"ÁGUA BRANCA";"PTC";"24";"0,013"
"AL";"ÁGUA BRANCA";"PV";"49";"0,027"
"AL";"ÁGUA BRANCA";"SD";"33";"0,018"
"AL";"ANADIA";"AVANTE";"62";"0,034"
"AL";"ANADIA";"DC";"4";"0,002"
"AL";"ANADIA";"DEM";"71";"0,039"
"AL";"ANADIA";"MDB";"52";"0,028"
"AL";"ANADIA";"PC DO B";"5";"0,003"
"AL";"ANADIA";"PDT";"84";"0,046"
"AL";"ANADIA";"PHS";"24";"0,013"
"AL";"ANADIA";"PMN";"16";"0,009"
"AL";"ANADIA";"PODE";"26";"0,014"
"AL";"ANADIA";"PP";"151";"0,082"
"AL";"ANADIA";"PPS";"77";"0,042"
"AL";"ANADIA";"PR";"57";"0,031"
"AL";"ANADIA";"PRB";"3";"0,002"
"AL";"ANADIA";"PROS";"5";"0,003"
"AL";"ANADIA";"PRP";"47";"0,026"
"AL";"ANADIA";"PRTB";"55";"0,030"
"AL";"ANADIA";"PSB";"63";"0,034"
"AL";"ANADIA";"PSC";"65";"0,035"
"AL";"ANADIA";"PSD";"15";"0,008"
"AL";"ANADIA";"PSDB";"159";"0,087"
"AL";"ANADIA";"PSL";"22";"0,012"
"AL";"ANADIA";"PT";"58";"0,032"
"AL";"ANADIA";"PTB";"72";"0,039"
"AL";"ANADIA";"PTC";"3";"0,002"
"AL";"ANADIA";"PV";"15";"0,008"
"AL";"ARAPIRACA";"AVANTE";"338";"0,185"
"AL";"ARAPIRACA";"DC";"329";"0,180"
"AL";"ARAPIRACA";"DEM";"391";"0,213"
"AL";"ARAPIRACA";"MDB";"920";"0,502"
"AL";"ARAPIRACA";"NOVO";"2";"0,001"
"AL";"ARAPIRACA";"PATRI";"39";"0,021"
"AL";"ARAPIRACA";"PC DO B";"59";"0,032"
"AL";"ARAPIRACA";"PCB";"5";"0,003"
"AL";"ARAPIRACA";"PCO";"5";"0,003"
"AL";"ARAPIRACA";"PDT";"464";"0,253"
"AL";"ARAPIRACA";"PHS";"82";"0,045"
"AL";"ARAPIRACA";"PMB";"15";"0,008"
"AL";"ARAPIRACA";"PMN";"166";"0,091"
"AL";"ARAPIRACA";"PODE";"120";"0,066"
"AL";"ARAPIRACA";"PP";"265";"0,145"
"AL";"ARAPIRACA";"PPL";"65";"0,035"
"AL";"ARAPIRACA";"PPS";"139";"0,076"
"AL";"ARAPIRACA";"PR";"35";"0,019"
"AL";"ARAPIRACA";"PRB";"76";"0,041"
"AL";"ARAPIRACA";"PROS";"43";"0,023"
"AL";"ARAPIRACA";"PRP";"206";"0,112"
"AL";"ARAPIRACA";"PRTB";"75";"0,041"
"AL";"ARAPIRACA";"PSB";"641";"0,350"
"AL";"ARAPIRACA";"PSC";"102";"0,056"
"AL";"ARAPIRACA";"PSD";"66";"0,036"
"AL";"ARAPIRACA";"PSDB";"392";"0,214"
"AL";"ARAPIRACA";"PSL";"136";"0,074"
"AL";"ARAPIRACA";"PSOL";"108";"0,059"
"AL";"ARAPIRACA";"PT";"234";"0,128"
"AL";"ARAPIRACA";"PTB";"329";"0,180"
"AL";"ARAPIRACA";"PTC";"57";"0,031"
"AL";"ARAPIRACA";"PV";"81";"0,044"
"AL";"ARAPIRACA";"REDE";"21";"0,011"
"AL";"ARAPIRACA";"SD";"80";"0,044"
"AL";"ATALAIA";"AVANTE";"55";"0,030"
"AL";"ATALAIA";"DC";"20";"0,011"
"AL";"ATALAIA";"DEM";"110";"0,060"
"AL";"ATALAIA";"MDB";"219";"0,120"
"AL";"ATALAIA";"PC DO B";"1";"0,001"
"AL";"ATALAIA";"PDT";"225";"0,123"
"AL";"ATALAIA";"PHS";"73";"0,040"
"AL";"ATALAIA";"PMN";"7";"0,004"
"AL";"ATALAIA";"PODE";"24";"0,013"
"AL";"ATALAIA";"PP";"105";"0,057"
"AL";"ATALAIA";"PPL";"3";"0,002"
"AL";"ATALAIA";"PPS";"71";"0,039"
"AL";"ATALAIA";"PR";"302";"0,165"
"AL";"ATALAIA";"PRB";"50";"0,027"
"AL";"ATALAIA";"PROS";"100";"0,055"
"AL";"ATALAIA";"PRP";"57";"0,031"
"AL";"ATALAIA";"PRTB";"36";"0,020"
"AL";"ATALAIA";"PSB";"76";"0,041"
"AL";"ATALAIA";"PSC";"38";"0,021"
"AL";"ATALAIA";"PSD";"8";"0,004"
"AL";"ATALAIA";"PSDB";"218";"0,119"
"AL";"ATALAIA";"PSL";"64";"0,035"
"AL";"ATALAIA";"PSOL";"104";"0,057"
"AL";"ATALAIA";"PT";"108";"0,059"
"AL";"ATALAIA";"PTB";"242";"0,132"
"AL";"ATALAIA";"PTC";"22";"0,012"
"AL";"ATALAIA";"PV";"50";"0,027"
"AL";"BARRA DE SANTO ANTÔNIO";"AVANTE";"5";"0,003"
"AL";"BARRA DE SANTO ANTÔNIO";"DC";"30";"0,016"
"AL";"BARRA DE SANTO ANTÔNIO";"DEM";"83";"0,045"
"AL";"BARRA DE SANTO ANTÔNIO";"MDB";"59";"0,032"
"AL";"BARRA DE SANTO ANTÔNIO";"NOVO";"1";"0,001"
"AL";"BARRA DE SANTO ANTÔNIO";"PATRI";"2";"0,001"
"AL";"BARRA DE SANTO ANTÔNIO";"PC DO B";"44";"0,024"
"AL";"BARRA DE SANTO ANTÔNIO";"PDT";"180";"0,098"
"AL";"BARRA DE SANTO ANTÔNIO";"PHS";"19";"0,010"
"AL";"BARRA DE SANTO ANTÔNIO";"PMN";"49";"0,027"
"AL";"BARRA DE SANTO ANTÔNIO";"PODE";"12";"0,007"
"AL";"BARRA DE SANTO ANTÔNIO";"PP";"181";"0,099"
"AL";"BARRA DE SANTO ANTÔNIO";"PPL";"20";"0,011"
"AL";"BARRA DE SANTO ANTÔNIO";"PPS";"39";"0,021"
"AL";"BARRA DE SANTO ANTÔNIO";"PR";"58";"0,032"
"AL";"BARRA DE SANTO ANTÔNIO";"PRB";"28";"0,015"
"AL";"BARRA DE SANTO ANTÔNIO";"PROS";"1";"0,001"
"AL";"BARRA DE SANTO ANTÔNIO";"PRP";"271";"0,148"
"AL";"BARRA DE SANTO ANTÔNIO";"PRTB";"20";"0,011"
"AL";"BARRA DE SANTO ANTÔNIO";"PSB";"81";"0,044"
"AL";"BARRA DE SANTO ANTÔNIO";"PSC";"78";"0,043"
"AL";"BARRA DE SANTO ANTÔNIO";"PSD";"13";"0,007"
"AL";"BARRA DE SANTO ANTÔNIO";"PSDB";"70";"0,038"
"AL";"BARRA DE SANTO ANTÔNIO";"PSL";"28";"0,015"
"AL";"BARRA DE SANTO ANTÔNIO";"PSOL";"57";"0,031"
"AL";"BARRA DE SANTO ANTÔNIO";"PT";"59";"0,032"
"AL";"BARRA DE SANTO ANTÔNIO";"PTB";"34";"0,019"
"AL";"BARRA DE SANTO ANTÔNIO";"PTC";"55";"0,030"
"AL";"BARRA DE SANTO ANTÔNIO";"PV";"58";"0,032"
"AL";"BARRA DE SANTO ANTÔNIO";"SD";"20";"0,011"
"AL";"BARRA DE SÃO MIGUEL";"AVANTE";"24";"0,013"
"AL";"BARRA DE SÃO MIGUEL";"DC";"29";"0,016"
"AL";"BARRA DE SÃO MIGUEL";"DEM";"90";"0,049"
"AL";"BARRA DE SÃO MIGUEL";"MDB";"77";"0,042"
"AL";"BARRA DE SÃO MIGUEL";"PATRI";"6";"0,003"
"AL";"BARRA DE SÃO MIGUEL";"PC DO B";"22";"0,012"
"AL";"BARRA DE SÃO MIGUEL";"PDT";"39";"0,021"
"AL";"BARRA DE SÃO MIGUEL";"PHS";"47";"0,026"
"AL";"BARRA DE SÃO MIGUEL";"PMN";"5";"0,003"
"AL";"BARRA DE SÃO MIGUEL";"PODE";"5";"0,003"
"AL";"BARRA DE SÃO MIGUEL";"PP";"162";"0,088"
"AL";"BARRA DE SÃO MIGUEL";"PPL";"7";"0,004"
"AL";"BARRA DE SÃO MIGUEL";"PPS";"41";"0,022"
"AL";"BARRA DE SÃO MIGUEL";"PR";"80";"0,044"
"AL";"BARRA DE SÃO MIGUEL";"PRB";"22";"0,012"
"AL";"BARRA DE SÃO MIGUEL";"PROS";"26";"0,014"
"AL";"BARRA DE SÃO MIGUEL";"PRP";"167";"0,091"
"AL";"BARRA DE SÃO MIGUEL";"PRTB";"4";"0,002"
"AL";"BARRA DE SÃO MIGUEL";"PSB";"105";"0,057"
"AL";"BARRA DE SÃO MIGUEL";"PSC";"59";"0,032"
"AL";"BARRA DE SÃO MIGUEL";"PSD";"36";"0,020"
"AL";"BARRA DE SÃO MIGUEL";"PSDB";"61";"0,033"
"AL";"BARRA DE SÃO MIGUEL";"PSL";"54";"0,029"
"AL";"BARRA DE SÃO MIGUEL";"PSOL";"1";"0,001"
"AL";"BARRA DE SÃO MIGUEL";"PT";"25";"0,014"
"AL";"BARRA DE SÃO MIGUEL";"PTB";"57";"0,031"
"AL";"BARRA DE SÃO MIGUEL";"PTC";"6";"0,003"
"AL";"BARRA DE SÃO MIGUEL";"PV";"42";"0,023"
"AL";"BARRA DE SÃO MIGUEL";"SD";"86";"0,047"
"AL";"BATALHA";"AVANTE";"53";"0,029"
"AL";"BATALHA";"DC";"18";"0,010"
"AL";"BATALHA";"DEM";"60";"0,033"
"AL";"BATALHA";"MDB";"70";"0,038"
"AL";"BATALHA";"NOVO";"1";"0,001"
