"UF";"Abrangência";"Partido";"Eleitores";"%"
"AM";"ALVARÃES";"AVANTE";"48";"0,019"
"AM";"ALVARÃES";"CIDADANIA";"77";"0,030"
"AM";"ALVARÃES";"DC";"15";"0,006"
"AM";"ALVARÃES";"DEM";"54";"0,021"
"AM";"ALVARÃES";"MDB";"108";"0,042"
"AM";"ALVARÃES";"PATRIOTA";"126";"0,049"
"AM";"ALVARÃES";"PCDOB";"102";"0,040"
"AM";"ALVARÃES";"PDT";"89";"0,035"
"AM";"ALVARÃES";"PL";"78";"0,031"
"AM";"ALVARÃES";"PMB";"3";"0,001"
"AM";"ALVARÃES";"PMN";"74";"0,029"
"AM";"ALVARÃES";"PODE";"41";"0,016"
"AM";"ALVARÃES";"PP";"81";"0,032"
"AM";"ALVARÃES";"PROS";"12";"0,005"
"AM";"ALVARÃES";"PRTB";"26";"0,010"
"AM";"ALVARÃES";"PSB";"32";"0,013"
"AM";"ALVARÃES";"PSC";"98";"0,038"
"AM";"ALVARÃES";"PSD";"60";"0,024"
"AM";"ALVARÃES";"PSDB";"81";"0,032"
"AM";"ALVARÃES";"PSL";"12";"0,005"
"AM";"ALVARÃES";"PSOL";"1";"0,000"
"AM";"ALVARÃES";"PT";"100";"0,039"
"AM";"ALVARÃES";"PTB";"66";"0,026"
"AM";"ALVARÃES";"PTC";"10";"0,004"
"AM";"ALVARÃES";"PV";"25";"0,010"
"AM";"ALVARÃES";"REPUBLICANOS";"117";"0,046"
"AM";"ALVARÃES";"SOLIDARIEDADE";"20";"0,008"
"AM";"AMATURÁ";"AVANTE";"164";"0,064"
"AM";"AMATURÁ";"CIDADANIA";"69";"0,027"
"AM";"AMATURÁ";"DC";"37";"0,015"
"AM";"AMATURÁ";"DEM";"35";"0,014"
"AM";"AMATURÁ";"MDB";"275";"0,108"
"AM";"AMATURÁ";"PATRIOTA";"31";"0,012"
"AM";"AMATURÁ";"PCDOB";"38";"0,015"
"AM";"AMATURÁ";"PDT";"35";"0,014"
"AM";"AMATURÁ";"PL";"55";"0,022"
"AM";"AMATURÁ";"PMB";"1";"0,000"
"AM";"AMATURÁ";"PMN";"13";"0,005"
"AM";"AMATURÁ";"PODE";"138";"0,054"
"AM";"AMATURÁ";"PP";"69";"0,027"
"AM";"AMATURÁ";"PROS";"142";"0,056"
"AM";"AMATURÁ";"PRTB";"28";"0,011"
"AM";"AMATURÁ";"PSB";"1";"0,000"
"AM";"AMATURÁ";"PSC";"231";"0,091"
"AM";"AMATURÁ";"PSD";"26";"0,010"
"AM";"AMATURÁ";"PSDB";"132";"0,052"
"AM";"AMATURÁ";"PSL";"27";"0,011"
"AM";"AMATURÁ";"PT";"113";"0,044"
"AM";"AMATURÁ";"PTB";"81";"0,032"
"AM";"AMATURÁ";"PTC";"25";"0,010"
"AM";"AMATURÁ";"PV";"60";"0,024"
"AM";"AMATURÁ";"REPUBLICANOS";"93";"0,036"
"AM";"AMATURÁ";"SOLIDARIEDADE";"18";"0,007"
"AM";"ANAMÃ";"AVANTE";"8";"0,003"
"AM";"ANAMÃ";"CIDADANIA";"37";"0,015"
"AM";"ANAMÃ";"DC";"44";"0,017"
"AM";"ANAMÃ";"DEM";"62";"0,024"
"AM";"ANAMÃ";"MDB";"114";"0,045"
"AM";"ANAMÃ";"PATRIOTA";"95";"0,037"
"AM";"ANAMÃ";"PCB";"6";"0,002"
"AM";"ANAMÃ";"PCDOB";"88";"0,034"
"AM";"ANAMÃ";"PDT";"26";"0,010"
"AM";"ANAMÃ";"PL";"64";"0,025"
"AM";"ANAMÃ";"PMB";"1";"0,000"
"AM";"ANAMÃ";"PMN";"26";"0,010"
"AM";"ANAMÃ";"PODE";"64";"0,025"
"AM";"ANAMÃ";"PP";"67";"0,026"
"AM";"ANAMÃ";"PROS";"107";"0,042"
"AM";"ANAMÃ";"PRTB";"29";"0,011"
"AM";"ANAMÃ";"PSB";"26";"0,010"
"AM";"ANAMÃ";"PSC";"102";"0,040"
"AM";"ANAMÃ";"PSD";"45";"0,018"
"AM";"ANAMÃ";"PSDB";"95";"0,037"
"AM";"ANAMÃ";"PSL";"38";"0,015"
"AM";"ANAMÃ";"PSOL";"2";"0,001"
"AM";"ANAMÃ";"PT";"35";"0,014"
"AM";"ANAMÃ";"PTB";"80";"0,031"
"AM";"ANAMÃ";"PTC";"30";"0,012"
"AM";"ANAMÃ";"PV";"14";"0,005"
"AM";"ANAMÃ";"REPUBLICANOS";"198";"0,078"
"AM";"ANAMÃ";"SOLIDARIEDADE";"49";"0,019"
"AM";"ANORI";"AVANTE";"21";"0,008"
"AM";"ANORI";"CIDADANIA";"52";"0,020"
"AM";"ANORI";"DC";"34";"0,013"
"AM";"ANORI";"DEM";"22";"0,009"
"AM";"ANORI";"MDB";"252";"0,099"
"AM";"ANORI";"PATRIOTA";"26";"0,010"
"AM";"ANORI";"PCDOB";"88";"0,034"
"AM";"ANORI";"PCO";"1";"0,000"
"AM";"ANORI";"PDT";"51";"0,020"
"AM";"ANORI";"PL";"58";"0,023"
"AM";"ANORI";"PMB";"1";"0,000"
"AM";"ANORI";"PMN";"21";"0,008"
"AM";"ANORI";"PODE";"130";"0,051"
"AM";"ANORI";"PP";"59";"0,023"
"AM";"ANORI";"PROS";"11";"0,004"
"AM";"ANORI";"PRTB";"24";"0,009"
"AM";"ANORI";"PSB";"64";"0,025"
"AM";"ANORI";"PSC";"102";"0,040"
"AM";"ANORI";"PSD";"61";"0,024"
"AM";"ANORI";"PSDB";"123";"0,048"
"AM";"ANORI";"PSL";"2";"0,001"
"AM";"ANORI";"PSOL";"37";"0,015"
"AM";"ANORI";"PT";"211";"0,083"
"AM";"ANORI";"PTB";"135";"0,053"
"AM";"ANORI";"PTC";"29";"0,011"
"AM";"ANORI";"PV";"12";"0,005"
"AM";"ANORI";"REPUBLICANOS";"146";"0,057"
"AM";"ANORI";"SOLIDARIEDADE";"12";"0,005"
"AM";"APUÍ";"AVANTE";"33";"0,013"
"AM";"APUÍ";"CIDADANIA";"42";"0,016"
"AM";"APUÍ";"DC";"89";"0,035"
"AM";"APUÍ";"DEM";"107";"0,042"
"AM";"APUÍ";"MDB";"59";"0,023"
"AM";"APUÍ";"PATRIOTA";"62";"0,024"
"AM";"APUÍ";"PCB";"1";"0,000"
"AM";"APUÍ";"PCDOB";"91";"0,036"
"AM";"APUÍ";"PDT";"82";"0,032"
"AM";"APUÍ";"PL";"88";"0,034"
"AM";"APUÍ";"PMN";"18";"0,007"
"AM";"APUÍ";"PODE";"68";"0,027"
"AM";"APUÍ";"PP";"91";"0,036"
"AM";"APUÍ";"PROS";"60";"0,024"
"AM";"APUÍ";"PRTB";"26";"0,010"
"AM";"APUÍ";"PSB";"86";"0,034"
"AM";"APUÍ";"PSC";"150";"0,059"
"AM";"APUÍ";"PSD";"80";"0,031"
"AM";"APUÍ";"PSDB";"197";"0,077"
"AM";"APUÍ";"PSL";"14";"0,005"
"AM";"APUÍ";"PSOL";"16";"0,006"
"AM";"APUÍ";"PSTU";"2";"0,001"
"AM";"APUÍ";"PT";"106";"0,042"
"AM";"APUÍ";"PTB";"133";"0,052"
"AM";"APUÍ";"PTC";"42";"0,016"
"AM";"APUÍ";"PV";"43";"0,017"
"AM";"APUÍ";"REPUBLICANOS";"117";"0,046"
"AM";"APUÍ";"SOLIDARIEDADE";"79";"0,031"
"AM";"ATALAIA DO NORTE";"AVANTE";"20";"0,008"
"AM";"ATALAIA DO NORTE";"CIDADANIA";"50";"0,020"
"AM";"ATALAIA DO NORTE";"DC";"20";"0,008"
"AM";"ATALAIA DO NORTE";"DEM";"58";"0,023"
"AM";"ATALAIA DO NORTE";"MDB";"148";"0,058"
"AM";"ATALAIA DO NORTE";"PATRIOTA";"5";"0,002"
"AM";"ATALAIA DO NORTE";"PCDOB";"92";"0,036"
"AM";"ATALAIA DO NORTE";"PDT";"107";"0,042"
"AM";"ATALAIA DO NORTE";"PL";"88";"0,034"
"AM";"ATALAIA DO NORTE";"PMB";"11";"0,004"
"AM";"ATALAIA DO NORTE";"PMN";"48";"0,019"
"AM";"ATALAIA DO NORTE";"PODE";"101";"0,040"
"AM";"ATALAIA DO NORTE";"PP";"57";"0,022"
"AM";"ATALAIA DO NORTE";"PROS";"16";"0,006"
"AM";"ATALAIA DO NORTE";"PRTB";"49";"0,019"
"AM";"ATALAIA DO NORTE";"PSB";"21";"0,008"
"AM";"ATALAIA DO NORTE";"PSC";"148";"0,058"
"AM";"ATALAIA DO NORTE";"PSD";"38";"0,015"
"AM";"ATALAIA DO NORTE";"PSDB";"79";"0,031"
"AM";"ATALAIA DO NORTE";"PSL";"4";"0,002"
"AM";"ATALAIA DO NORTE";"PSOL";"14";"0,005"
"AM";"ATALAIA DO NORTE";"PT";"28";"0,011"
"AM";"ATALAIA DO NORTE";"PTB";"54";"0,021"
"AM";"ATALAIA DO NORTE";"PTC";"34";"0,013"
"AM";"ATALAIA DO NORTE";"PV";"28";"0,011"
"AM";"ATALAIA DO NORTE";"REPUBLICANOS";"86";"0,034"
"AM";"ATALAIA DO NORTE";"SOLIDARIEDADE";"13";"0,005"
"AM";"AUTAZES";"AVANTE";"63";"0,025"
"AM";"AUTAZES";"CIDADANIA";"22";"0,009"
"AM";"AUTAZES";"DC";"92";"0,036"
"AM";"AUTAZES";"DEM";"256";"0,100"
"AM";"AUTAZES";"MDB";"145";"0,057"
"AM";"AUTAZES";"NOVO";"1";"0,000"
"AM";"AUTAZES";"PATRIOTA";"109";"0,043"
"AM";"AUTAZES";"PCB";"4";"0,002"
"AM";"AUTAZES";"PCDOB";"155";"0,061"
"AM";"AUTAZES";"PDT";"151";"0,059"
"AM";"AUTAZES";"PL";"272";"0,107"
"AM";"AUTAZES";"PMB";"15";"0,006"
"AM";"AUTAZES";"PMN";"124";"0,049"
"AM";"AUTAZES";"PODE";"170";"0,067"
"AM";"AUTAZES";"PP";"658";"0,258"
"AM";"AUTAZES";"PROS";"59";"0,023"
"AM";"AUTAZES";"PRTB";"54";"0,021"
"AM";"AUTAZES";"PSB";"71";"0,028"
"AM";"AUTAZES";"PSC";"250";"0,098"
"AM";"AUTAZES";"PSD";"229";"0,090"
"AM";"AUTAZES";"PSDB";"106";"0,042"
"AM";"AUTAZES";"PSL";"10";"0,004"
"AM";"AUTAZES";"PSOL";"9";"0,004"
"AM";"AUTAZES";"PT";"155";"0,061"
"AM";"AUTAZES";"PTB";"143";"0,056"
"AM";"AUTAZES";"PTC";"152";"0,060"
"AM";"AUTAZES";"PV";"48";"0,019"
"AM";"AUTAZES";"REDE";"1";"0,000"
"AM";"AUTAZES";"REPUBLICANOS";"334";"0,131"
"AM";"AUTAZES";"SOLIDARIEDADE";"67";"0,026"
"AM";"BARCELOS";"AVANTE";"20";"0,008"
"AM";"BARCELOS";"CIDADANIA";"66";"0,026"
"AM";"BARCELOS";"DC";"20";"0,008"
"AM";"BARCELOS";"DEM";"60";"0,024"
"AM";"BARCELOS";"MDB";"127";"0,050"
"AM";"BARCELOS";"PATRIOTA";"22";"0,009"
"AM";"BARCELOS";"PCDOB";"53";"0,021"
"AM";"BARCELOS";"PDT";"38";"0,015"
"AM";"BARCELOS";"PL";"87";"0,034"
"AM";"BARCELOS";"PMN";"43";"0,017"
"AM";"BARCELOS";"PODE";"53";"0,021"
"AM";"BARCELOS";"PP";"184";"0,072"
"AM";"BARCELOS";"PROS";"30";"0,012"
"AM";"BARCELOS";"PRTB";"54";"0,021"
"AM";"BARCELOS";"PSB";"11";"0,004"
"AM";"BARCELOS";"PSC";"257";"0,101"
"AM";"BARCELOS";"PSD";"51";"0,020"
"AM";"BARCELOS";"PSDB";"34";"0,013"
"AM";"BARCELOS";"PSL";"19";"0,007"
"AM";"BARCELOS";"PSOL";"1";"0,000"
"AM";"BARCELOS";"PT";"85";"0,033"
"AM";"BARCELOS";"PTB";"105";"0,041"
"AM";"BARCELOS";"PTC";"9";"0,004"
"AM";"BARCELOS";"PV";"37";"0,015"
"AM";"BARCELOS";"REDE";"19";"0,007"
"AM";"BARCELOS";"REPUBLICANOS";"105";"0,041"
"AM";"BARCELOS";"SOLIDARIEDADE";"75";"0,029"
"AM";"BARREIRINHA";"AVANTE";"81";"0,032"
"AM";"BARREIRINHA";"CIDADANIA";"84";"0,033"
"AM";"BARREIRINHA";"DC";"179";"0,070"
"AM";"BARREIRINHA";"DEM";"211";"0,083"
"AM";"BARREIRINHA";"MDB";"267";"0,105"
"AM";"BARREIRINHA";"PATRIOTA";"89";"0,035"
"AM";"BARREIRINHA";"PCB";"11";"0,004"
"AM";"BARREIRINHA";"PCDOB";"98";"0,038"
"AM";"BARREIRINHA";"PDT";"109";"0,043"
"AM";"BARREIRINHA";"PL";"134";"0,053"
"AM";"BARREIRINHA";"PMB";"29";"0,011"
"AM";"BARREIRINHA";"PMN";"27";"0,011"
"AM";"BARREIRINHA";"PODE";"162";"0,064"
"AM";"BARREIRINHA";"PP";"205";"0,080"
"AM";"BARREIRINHA";"PROS";"11";"0,004"
"AM";"BARREIRINHA";"PRTB";"40";"0,016"
"AM";"BARREIRINHA";"PSB";"37";"0,015"
"AM";"BARREIRINHA";"PSC";"80";"0,031"
"AM";"BARREIRINHA";"PSD";"76";"0,030"
"AM";"BARREIRINHA";"PSDB";"40";"0,016"
"AM";"BARREIRINHA";"PSL";"13";"0,005"
"AM";"BARREIRINHA";"PSOL";"33";"0,013"
"AM";"BARREIRINHA";"PT";"554";"0,217"
"AM";"BARREIRINHA";"PTB";"96";"0,038"
"AM";"BARREIRINHA";"PTC";"98";"0,038"
"AM";"BARREIRINHA";"PV";"49";"0,019"
"AM";"BARREIRINHA";"REDE";"1";"0,000"
"AM";"BARREIRINHA";"REPUBLICANOS";"203";"0,080"
"AM";"BARREIRINHA";"SOLIDARIEDADE";"31";"0,012"
"AM";"BENJAMIN CONSTANT";"AVANTE";"76";"0,030"
"AM";"BENJAMIN CONSTANT";"CIDADANIA";"71";"0,028"
"AM";"BENJAMIN CONSTANT";"DC";"76";"0,030"
"AM";"BENJAMIN CONSTANT";"DEM";"102";"0,040"
"AM";"BENJAMIN CONSTANT";"MDB";"138";"0,054"
"AM";"BENJAMIN CONSTANT";"PATRIOTA";"76";"0,030"
"AM";"BENJAMIN CONSTANT";"PCB";"29";"0,011"
"AM";"BENJAMIN CONSTANT";"PCDOB";"196";"0,077"
"AM";"BENJAMIN CONSTANT";"PCO";"5";"0,002"
"AM";"BENJAMIN CONSTANT";"PDT";"96";"0,038"
"AM";"BENJAMIN CONSTANT";"PL";"189";"0,074"
"AM";"BENJAMIN CONSTANT";"PMB";"31";"0,012"
"AM";"BENJAMIN CONSTANT";"PMN";"88";"0,034"
"AM";"BENJAMIN CONSTANT";"PODE";"133";"0,052"
"AM";"BENJAMIN CONSTANT";"PP";"215";"0,084"
"AM";"BENJAMIN CONSTANT";"PROS";"52";"0,020"
"AM";"BENJAMIN CONSTANT";"PRTB";"67";"0,026"
"AM";"BENJAMIN CONSTANT";"PSB";"47";"0,018"
"AM";"BENJAMIN CONSTANT";"PSC";"95";"0,037"
"AM";"BENJAMIN CONSTANT";"PSD";"364";"0,143"
"AM";"BENJAMIN CONSTANT";"PSDB";"80";"0,031"
"AM";"BENJAMIN CONSTANT";"PSL";"28";"0,011"
"AM";"BENJAMIN CONSTANT";"PSOL";"170";"0,067"
"AM";"BENJAMIN CONSTANT";"PT";"137";"0,054"
"AM";"BENJAMIN CONSTANT";"PTB";"189";"0,074"
"AM";"BENJAMIN CONSTANT";"PTC";"87";"0,034"
"AM";"BENJAMIN CONSTANT";"PV";"69";"0,027"
"AM";"BENJAMIN CONSTANT";"REDE";"6";"0,002"
"AM";"BENJAMIN CONSTANT";"REPUBLICANOS";"216";"0,085"
"AM";"BENJAMIN CONSTANT";"SOLIDARIEDADE";"48";"0,019"
"AM";"BERURI";"AVANTE";"177";"0,069"
"AM";"BERURI";"CIDADANIA";"39";"0,015"
"AM";"BERURI";"DC";"31";"0,012"
"AM";"BERURI";"DEM";"112";"0,044"
"AM";"BERURI";"MDB";"178";"0,070"
"AM";"BERURI";"PATRIOTA";"192";"0,075"
"AM";"BERURI";"PCDOB";"90";"0,035"
