"UF";"Abrangência";"Partido";"Eleitores";"%"
"AP";"AMAPÁ";"AVANTE";"28";"0,029"
"AP";"AMAPÁ";"DC";"34";"0,035"
"AP";"AMAPÁ";"DEM";"35";"0,036"
"AP";"AMAPÁ";"MDB";"136";"0,141"
"AP";"AMAPÁ";"PATRI";"1";"0,001"
"AP";"AMAPÁ";"PC DO B";"34";"0,035"
"AP";"AMAPÁ";"PDT";"193";"0,200"
"AP";"AMAPÁ";"PHS";"34";"0,035"
"AP";"AMAPÁ";"PMB";"69";"0,071"
"AP";"AMAPÁ";"PMN";"42";"0,043"
"AP";"AMAPÁ";"PODE";"15";"0,016"
"AP";"AMAPÁ";"PP";"147";"0,152"
"AP";"AMAPÁ";"PPS";"49";"0,051"
"AP";"AMAPÁ";"PR";"92";"0,095"
"AP";"AMAPÁ";"PRB";"105";"0,109"
"AP";"AMAPÁ";"PROS";"15";"0,016"
"AP";"AMAPÁ";"PRP";"11";"0,011"
"AP";"AMAPÁ";"PRTB";"27";"0,028"
"AP";"AMAPÁ";"PSB";"222";"0,230"
"AP";"AMAPÁ";"PSC";"80";"0,083"
"AP";"AMAPÁ";"PSD";"16";"0,017"
"AP";"AMAPÁ";"PSDB";"58";"0,060"
"AP";"AMAPÁ";"PSL";"1";"0,001"
"AP";"AMAPÁ";"PSOL";"36";"0,037"
"AP";"AMAPÁ";"PSTU";"1";"0,001"
"AP";"AMAPÁ";"PT";"83";"0,086"
"AP";"AMAPÁ";"PTB";"47";"0,049"
"AP";"AMAPÁ";"PTC";"2";"0,002"
"AP";"AMAPÁ";"PV";"49";"0,051"
"AP";"AMAPÁ";"REDE";"69";"0,071"
"AP";"AMAPÁ";"SD";"52";"0,054"
"AP";"CALÇOENE";"AVANTE";"25";"0,026"
"AP";"CALÇOENE";"DC";"7";"0,007"
"AP";"CALÇOENE";"DEM";"94";"0,097"
"AP";"CALÇOENE";"MDB";"297";"0,308"
"AP";"CALÇOENE";"PATRI";"15";"0,016"
"AP";"CALÇOENE";"PC DO B";"58";"0,060"
"AP";"CALÇOENE";"PDT";"282";"0,292"
"AP";"CALÇOENE";"PHS";"29";"0,030"
"AP";"CALÇOENE";"PMB";"34";"0,035"
"AP";"CALÇOENE";"PMN";"30";"0,031"
"AP";"CALÇOENE";"PP";"65";"0,067"
"AP";"CALÇOENE";"PPL";"1";"0,001"
"AP";"CALÇOENE";"PPS";"37";"0,038"
"AP";"CALÇOENE";"PR";"43";"0,045"
"AP";"CALÇOENE";"PRB";"15";"0,016"
"AP";"CALÇOENE";"PROS";"14";"0,014"
"AP";"CALÇOENE";"PRP";"16";"0,017"
"AP";"CALÇOENE";"PRTB";"13";"0,013"
"AP";"CALÇOENE";"PSB";"132";"0,137"
"AP";"CALÇOENE";"PSC";"105";"0,109"
"AP";"CALÇOENE";"PSD";"14";"0,014"
"AP";"CALÇOENE";"PSDB";"69";"0,071"
"AP";"CALÇOENE";"PSL";"9";"0,009"
"AP";"CALÇOENE";"PSOL";"34";"0,035"
"AP";"CALÇOENE";"PSTU";"1";"0,001"
"AP";"CALÇOENE";"PT";"147";"0,152"
"AP";"CALÇOENE";"PTB";"38";"0,039"
"AP";"CALÇOENE";"PTC";"1";"0,001"
"AP";"CALÇOENE";"PV";"42";"0,043"
"AP";"CALÇOENE";"REDE";"71";"0,074"
"AP";"CALÇOENE";"SD";"30";"0,031"
"AP";"CUTIAS";"AVANTE";"14";"0,014"
"AP";"CUTIAS";"DC";"19";"0,020"
"AP";"CUTIAS";"DEM";"61";"0,063"
"AP";"CUTIAS";"MDB";"88";"0,091"
"AP";"CUTIAS";"PATRI";"4";"0,004"
"AP";"CUTIAS";"PC DO B";"37";"0,038"
"AP";"CUTIAS";"PDT";"213";"0,221"
"AP";"CUTIAS";"PHS";"2";"0,002"
"AP";"CUTIAS";"PMB";"20";"0,021"
"AP";"CUTIAS";"PMN";"7";"0,007"
"AP";"CUTIAS";"PODE";"35";"0,036"
"AP";"CUTIAS";"PP";"87";"0,090"
"AP";"CUTIAS";"PPL";"10";"0,010"
"AP";"CUTIAS";"PPS";"24";"0,025"
"AP";"CUTIAS";"PR";"29";"0,030"
"AP";"CUTIAS";"PRB";"6";"0,006"
"AP";"CUTIAS";"PROS";"21";"0,022"
"AP";"CUTIAS";"PRP";"5";"0,005"
"AP";"CUTIAS";"PRTB";"68";"0,070"
"AP";"CUTIAS";"PSB";"189";"0,196"
"AP";"CUTIAS";"PSC";"12";"0,012"
"AP";"CUTIAS";"PSD";"12";"0,012"
"AP";"CUTIAS";"PSDB";"52";"0,054"
"AP";"CUTIAS";"PSL";"41";"0,042"
"AP";"CUTIAS";"PSOL";"49";"0,051"
"AP";"CUTIAS";"PT";"37";"0,038"
"AP";"CUTIAS";"PTB";"80";"0,083"
"AP";"CUTIAS";"PTC";"1";"0,001"
"AP";"CUTIAS";"PV";"50";"0,052"
"AP";"CUTIAS";"REDE";"4";"0,004"
"AP";"CUTIAS";"SD";"24";"0,025"
"AP";"FERREIRA GOMES";"AVANTE";"8";"0,008"
"AP";"FERREIRA GOMES";"DC";"32";"0,033"
"AP";"FERREIRA GOMES";"DEM";"109";"0,113"
"AP";"FERREIRA GOMES";"MDB";"100";"0,104"
