"UF";"Abrangência";"Partido";"Eleitores";"%"
"BA";"ABAÍRA";"DEM";"48";"0,005"
"BA";"ABAÍRA";"MDB";"97";"0,010"
"BA";"ABAÍRA";"PC DO B";"8";"0,001"
"BA";"ABAÍRA";"PDT";"66";"0,007"
"BA";"ABAÍRA";"PODE";"29";"0,003"
"BA";"ABAÍRA";"PP";"80";"0,008"
"BA";"ABAÍRA";"PR";"58";"0,006"
"BA";"ABAÍRA";"PRB";"25";"0,003"
"BA";"ABAÍRA";"PROS";"4";"0,000"
"BA";"ABAÍRA";"PRP";"1";"0,000"
"BA";"ABAÍRA";"PSB";"83";"0,008"
"BA";"ABAÍRA";"PSD";"8";"0,001"
"BA";"ABAÍRA";"PSDB";"32";"0,003"
"BA";"ABAÍRA";"PSL";"6";"0,001"
"BA";"ABAÍRA";"PT";"93";"0,009"
"BA";"ABAÍRA";"PTB";"75";"0,008"
"BA";"ABAÍRA";"PV";"30";"0,003"
"BA";"ABARÉ";"DEM";"169";"0,017"
"BA";"ABARÉ";"MDB";"378";"0,038"
"BA";"ABARÉ";"PATRI";"1";"0,000"
"BA";"ABARÉ";"PC DO B";"68";"0,007"
"BA";"ABARÉ";"PDT";"36";"0,004"
"BA";"ABARÉ";"PHS";"31";"0,003"
"BA";"ABARÉ";"PMN";"88";"0,009"
"BA";"ABARÉ";"PODE";"79";"0,008"
"BA";"ABARÉ";"PP";"129";"0,013"
"BA";"ABARÉ";"PPS";"25";"0,003"
"BA";"ABARÉ";"PR";"92";"0,009"
"BA";"ABARÉ";"PRB";"7";"0,001"
"BA";"ABARÉ";"PROS";"1";"0,000"
"BA";"ABARÉ";"PRP";"31";"0,003"
"BA";"ABARÉ";"PSB";"39";"0,004"
"BA";"ABARÉ";"PSC";"42";"0,004"
"BA";"ABARÉ";"PSD";"42";"0,004"
"BA";"ABARÉ";"PSDB";"93";"0,009"
"BA";"ABARÉ";"PSL";"40";"0,004"
"BA";"ABARÉ";"PT";"143";"0,014"
"BA";"ABARÉ";"PTB";"113";"0,011"
"BA";"ABARÉ";"PTC";"66";"0,007"
"BA";"ABARÉ";"PV";"128";"0,013"
"BA";"ACAJUTIBA";"AVANTE";"38";"0,004"
"BA";"ACAJUTIBA";"DC";"4";"0,000"
"BA";"ACAJUTIBA";"DEM";"110";"0,011"
"BA";"ACAJUTIBA";"MDB";"121";"0,012"
"BA";"ACAJUTIBA";"PATRI";"46";"0,005"
"BA";"ACAJUTIBA";"PC DO B";"22";"0,002"
"BA";"ACAJUTIBA";"PDT";"31";"0,003"
"BA";"ACAJUTIBA";"PHS";"42";"0,004"
