"UF";"Abrangência";"Partido";"Eleitores";"%"
"CE";"ABAIARA";"AVANTE";"1";"0,000"
"CE";"ABAIARA";"CIDADANIA";"23";"0,004"
"CE";"ABAIARA";"DEM";"10";"0,002"
"CE";"ABAIARA";"MDB";"94";"0,018"
"CE";"ABAIARA";"PATRIOTA";"44";"0,008"
"CE";"ABAIARA";"PCDOB";"44";"0,008"
"CE";"ABAIARA";"PDT";"75";"0,014"
"CE";"ABAIARA";"PL";"36";"0,007"
"CE";"ABAIARA";"PODE";"14";"0,003"
"CE";"ABAIARA";"PP";"34";"0,006"
"CE";"ABAIARA";"PROS";"6";"0,001"
"CE";"ABAIARA";"PRTB";"1";"0,000"
"CE";"ABAIARA";"PSB";"28";"0,005"
"CE";"ABAIARA";"PSC";"1";"0,000"
"CE";"ABAIARA";"PSD";"42";"0,008"
"CE";"ABAIARA";"PSDB";"115";"0,022"
"CE";"ABAIARA";"PSL";"4";"0,001"
"CE";"ABAIARA";"PSTU";"14";"0,003"
"CE";"ABAIARA";"PT";"219";"0,042"
"CE";"ABAIARA";"PTB";"77";"0,015"
"CE";"ABAIARA";"PTC";"3";"0,001"
"CE";"ABAIARA";"REPUBLICANOS";"40";"0,008"
"CE";"ABAIARA";"UP";"1";"0,000"
"CE";"ACARAPE";"AVANTE";"71";"0,014"
"CE";"ACARAPE";"CIDADANIA";"51";"0,010"
"CE";"ACARAPE";"DC";"54";"0,010"
"CE";"ACARAPE";"DEM";"121";"0,023"
"CE";"ACARAPE";"MDB";"161";"0,031"
"CE";"ACARAPE";"PATRIOTA";"61";"0,012"
"CE";"ACARAPE";"PCDOB";"73";"0,014"
"CE";"ACARAPE";"PDT";"159";"0,030"
"CE";"ACARAPE";"PL";"134";"0,026"
"CE";"ACARAPE";"PMB";"7";"0,001"
"CE";"ACARAPE";"PMN";"29";"0,006"
"CE";"ACARAPE";"PODE";"125";"0,024"
"CE";"ACARAPE";"PP";"68";"0,013"
"CE";"ACARAPE";"PROS";"1";"0,000"
"CE";"ACARAPE";"PRTB";"56";"0,011"
"CE";"ACARAPE";"PSB";"66";"0,013"
"CE";"ACARAPE";"PSC";"60";"0,011"
"CE";"ACARAPE";"PSD";"43";"0,008"
"CE";"ACARAPE";"PSDB";"138";"0,026"
"CE";"ACARAPE";"PSL";"6";"0,001"
"CE";"ACARAPE";"PSOL";"7";"0,001"
"CE";"ACARAPE";"PSTU";"46";"0,009"
"CE";"ACARAPE";"PT";"161";"0,031"
"CE";"ACARAPE";"PTB";"63";"0,012"
"CE";"ACARAPE";"PTC";"20";"0,004"
"CE";"ACARAPE";"PV";"29";"0,006"
"CE";"ACARAPE";"REDE";"1";"0,000"
"CE";"ACARAPE";"REPUBLICANOS";"78";"0,015"
"CE";"ACARAÚ";"AVANTE";"1";"0,000"
"CE";"ACARAÚ";"CIDADANIA";"35";"0,007"
"CE";"ACARAÚ";"DC";"5";"0,001"
"CE";"ACARAÚ";"DEM";"191";"0,036"
"CE";"ACARAÚ";"MDB";"630";"0,120"
"CE";"ACARAÚ";"PATRIOTA";"5";"0,001"
"CE";"ACARAÚ";"PCDOB";"100";"0,019"
"CE";"ACARAÚ";"PDT";"301";"0,057"
"CE";"ACARAÚ";"PL";"88";"0,017"
"CE";"ACARAÚ";"PMB";"2";"0,000"
"CE";"ACARAÚ";"PMN";"38";"0,007"
"CE";"ACARAÚ";"PODE";"38";"0,007"
"CE";"ACARAÚ";"PP";"176";"0,034"
"CE";"ACARAÚ";"PROS";"16";"0,003"
"CE";"ACARAÚ";"PRTB";"1";"0,000"
"CE";"ACARAÚ";"PSB";"117";"0,022"
"CE";"ACARAÚ";"PSC";"111";"0,021"
"CE";"ACARAÚ";"PSD";"118";"0,023"
"CE";"ACARAÚ";"PSDB";"132";"0,025"
"CE";"ACARAÚ";"PSL";"8";"0,002"
"CE";"ACARAÚ";"PSOL";"52";"0,010"
"CE";"ACARAÚ";"PSTU";"4";"0,001"
"CE";"ACARAÚ";"PT";"392";"0,075"
"CE";"ACARAÚ";"PTB";"157";"0,030"
"CE";"ACARAÚ";"PV";"20";"0,004"
"CE";"ACARAÚ";"REDE";"22";"0,004"
"CE";"ACARAÚ";"REPUBLICANOS";"22";"0,004"
"CE";"ACOPIARA";"AVANTE";"5";"0,001"
"CE";"ACOPIARA";"CIDADANIA";"93";"0,018"
"CE";"ACOPIARA";"DC";"1";"0,000"
"CE";"ACOPIARA";"DEM";"157";"0,030"
