"UF";"Abrangência";"Partido";"Eleitores";"%"
"DF";"BRASÍLIA";"AVANTE";"2292";"1,100"
"DF";"BRASÍLIA";"CIDADANIA";"4957";"2,380"
"DF";"BRASÍLIA";"DC";"712";"0,342"
"DF";"BRASÍLIA";"DEM";"16635";"7,986"
"DF";"BRASÍLIA";"MDB";"25903";"12,435"
"DF";"BRASÍLIA";"NOVO";"625";"0,300"
"DF";"BRASÍLIA";"PATRIOTA";"2146";"1,030"
"DF";"BRASÍLIA";"PCB";"468";"0,225"
"DF";"BRASÍLIA";"PCDOB";"2731";"1,311"
"DF";"BRASÍLIA";"PCO";"110";"0,053"
"DF";"BRASÍLIA";"PDT";"12198";"5,856"
"DF";"BRASÍLIA";"PL";"11017";"5,289"
"DF";"BRASÍLIA";"PMB";"230";"0,110"
"DF";"BRASÍLIA";"PMN";"2160";"1,037"
"DF";"BRASÍLIA";"PODE";"4170";"2,002"
"DF";"BRASÍLIA";"PP";"18526";"8,894"
"DF";"BRASÍLIA";"PROS";"1426";"0,685"
"DF";"BRASÍLIA";"PRTB";"3669";"1,761"
"DF";"BRASÍLIA";"PSB";"6165";"2,960"
"DF";"BRASÍLIA";"PSC";"12503";"6,002"
"DF";"BRASÍLIA";"PSD";"603";"0,289"
"DF";"BRASÍLIA";"PSDB";"19590";"9,405"
"DF";"BRASÍLIA";"PSL";"210";"0,101"
"DF";"BRASÍLIA";"PSOL";"5259";"2,525"
"DF";"BRASÍLIA";"PSTU";"433";"0,208"
"DF";"BRASÍLIA";"PT";"30875";"14,822"
"DF";"BRASÍLIA";"PTB";"7121";"3,419"
"DF";"BRASÍLIA";"PTC";"2191";"1,052"
"DF";"BRASÍLIA";"PV";"1396";"0,670"
"DF";"BRASÍLIA";"REDE";"591";"0,284"
"DF";"BRASÍLIA";"REPUBLICANOS";"5052";"2,425"
"DF";"BRASÍLIA";"SOLIDARIEDADE";"6320";"3,034"
"DF";"BRASÍLIA";"UP";"17";"0,008"
"";"TOTAL";"";"208301";""
