"UF";"Abrangência";"Partido";"Eleitores";"%"
"ES";"AFONSO CLÁUDIO";"AVANTE";"81";"0,024"
"ES";"AFONSO CLÁUDIO";"DC";"19";"0,006"
"ES";"AFONSO CLÁUDIO";"DEM";"162";"0,047"
"ES";"AFONSO CLÁUDIO";"MDB";"793";"0,231"
"ES";"AFONSO CLÁUDIO";"NOVO";"1";"0,000"
"ES";"AFONSO CLÁUDIO";"PATRI";"12";"0,003"
"ES";"AFONSO CLÁUDIO";"PC DO B";"47";"0,014"
"ES";"AFONSO CLÁUDIO";"PDT";"258";"0,075"
"ES";"AFONSO CLÁUDIO";"PHS";"8";"0,002"
"ES";"AFONSO CLÁUDIO";"PMB";"5";"0,001"
"ES";"AFONSO CLÁUDIO";"PMN";"107";"0,031"
"ES";"AFONSO CLÁUDIO";"PODE";"7";"0,002"
"ES";"AFONSO CLÁUDIO";"PP";"630";"0,184"
"ES";"AFONSO CLÁUDIO";"PPL";"5";"0,001"
"ES";"AFONSO CLÁUDIO";"PPS";"162";"0,047"
"ES";"AFONSO CLÁUDIO";"PR";"140";"0,041"
"ES";"AFONSO CLÁUDIO";"PRB";"18";"0,005"
"ES";"AFONSO CLÁUDIO";"PROS";"6";"0,002"
"ES";"AFONSO CLÁUDIO";"PRP";"15";"0,004"
"ES";"AFONSO CLÁUDIO";"PRTB";"35";"0,010"
"ES";"AFONSO CLÁUDIO";"PSB";"176";"0,051"
"ES";"AFONSO CLÁUDIO";"PSC";"122";"0,036"
"ES";"AFONSO CLÁUDIO";"PSD";"102";"0,030"
"ES";"AFONSO CLÁUDIO";"PSDB";"293";"0,085"
"ES";"AFONSO CLÁUDIO";"PSL";"40";"0,012"
"ES";"AFONSO CLÁUDIO";"PSOL";"3";"0,001"
"ES";"AFONSO CLÁUDIO";"PT";"390";"0,114"
"ES";"AFONSO CLÁUDIO";"PTB";"233";"0,068"
"ES";"AFONSO CLÁUDIO";"PTC";"71";"0,021"
"ES";"AFONSO CLÁUDIO";"PV";"63";"0,018"
"ES";"AFONSO CLÁUDIO";"REDE";"20";"0,006"
"ES";"AFONSO CLÁUDIO";"SD";"86";"0,025"
"ES";"ÁGUA DOCE DO NORTE";"AVANTE";"24";"0,007"
"ES";"ÁGUA DOCE DO NORTE";"DC";"7";"0,002"
"ES";"ÁGUA DOCE DO NORTE";"DEM";"113";"0,033"
"ES";"ÁGUA DOCE DO NORTE";"MDB";"168";"0,049"
"ES";"ÁGUA DOCE DO NORTE";"PATRI";"41";"0,012"
"ES";"ÁGUA DOCE DO NORTE";"PC DO B";"12";"0,003"
"ES";"ÁGUA DOCE DO NORTE";"PDT";"168";"0,049"
"ES";"ÁGUA DOCE DO NORTE";"PHS";"25";"0,007"
"ES";"ÁGUA DOCE DO NORTE";"PMN";"39";"0,011"
"ES";"ÁGUA DOCE DO NORTE";"PODE";"34";"0,010"
"ES";"ÁGUA DOCE DO NORTE";"PP";"293";"0,085"
"ES";"ÁGUA DOCE DO NORTE";"PPS";"29";"0,008"
"ES";"ÁGUA DOCE DO NORTE";"PR";"76";"0,022"
"ES";"ÁGUA DOCE DO NORTE";"PRB";"9";"0,003"
"ES";"ÁGUA DOCE DO NORTE";"PROS";"26";"0,008"
"ES";"ÁGUA DOCE DO NORTE";"PRP";"28";"0,008"
"ES";"ÁGUA DOCE DO NORTE";"PRTB";"17";"0,005"
"ES";"ÁGUA DOCE DO NORTE";"PSB";"147";"0,043"
"ES";"ÁGUA DOCE DO NORTE";"PSC";"16";"0,005"
"ES";"ÁGUA DOCE DO NORTE";"PSD";"29";"0,008"
"ES";"ÁGUA DOCE DO NORTE";"PSDB";"51";"0,015"
"ES";"ÁGUA DOCE DO NORTE";"PSOL";"3";"0,001"
"ES";"ÁGUA DOCE DO NORTE";"PT";"133";"0,039"
"ES";"ÁGUA DOCE DO NORTE";"PTB";"150";"0,044"
"ES";"ÁGUA DOCE DO NORTE";"PTC";"14";"0,004"
"ES";"ÁGUA DOCE DO NORTE";"PV";"41";"0,012"
"ES";"ÁGUA DOCE DO NORTE";"SD";"21";"0,006"
"ES";"ÁGUIA BRANCA";"AVANTE";"15";"0,004"
"ES";"ÁGUIA BRANCA";"DEM";"89";"0,026"
"ES";"ÁGUIA BRANCA";"MDB";"243";"0,071"
"ES";"ÁGUIA BRANCA";"PATRI";"21";"0,006"
"ES";"ÁGUIA BRANCA";"PDT";"60";"0,017"
"ES";"ÁGUIA BRANCA";"PHS";"5";"0,001"
"ES";"ÁGUIA BRANCA";"PMN";"9";"0,003"
"ES";"ÁGUIA BRANCA";"PODE";"13";"0,004"
"ES";"ÁGUIA BRANCA";"PP";"61";"0,018"
"ES";"ÁGUIA BRANCA";"PPL";"1";"0,000"
"ES";"ÁGUIA BRANCA";"PPS";"45";"0,013"
"ES";"ÁGUIA BRANCA";"PR";"48";"0,014"
"ES";"ÁGUIA BRANCA";"PRB";"4";"0,001"
"ES";"ÁGUIA BRANCA";"PROS";"12";"0,003"
"ES";"ÁGUIA BRANCA";"PRP";"46";"0,013"
"ES";"ÁGUIA BRANCA";"PSB";"166";"0,048"
"ES";"ÁGUIA BRANCA";"PSC";"38";"0,011"
"ES";"ÁGUIA BRANCA";"PSD";"34";"0,010"
"ES";"ÁGUIA BRANCA";"PSDB";"160";"0,047"
"ES";"ÁGUIA BRANCA";"PSOL";"7";"0,002"
"ES";"ÁGUIA BRANCA";"PT";"149";"0,043"
"ES";"ÁGUIA BRANCA";"PTB";"170";"0,050"
"ES";"ÁGUIA BRANCA";"PTC";"19";"0,006"
"ES";"ÁGUIA BRANCA";"PV";"40";"0,012"
