"UF";"Abrangência";"Partido";"Eleitores";"%"
"GO";"ABADIA DE GOIÁS";"AVANTE";"4";"0,001"
"GO";"ABADIA DE GOIÁS";"CIDADANIA";"112";"0,017"
"GO";"ABADIA DE GOIÁS";"DC";"49";"0,007"
"GO";"ABADIA DE GOIÁS";"DEM";"123";"0,019"
"GO";"ABADIA DE GOIÁS";"MDB";"264";"0,040"
"GO";"ABADIA DE GOIÁS";"PATRIOTA";"135";"0,021"
"GO";"ABADIA DE GOIÁS";"PCB";"2";"0,000"
"GO";"ABADIA DE GOIÁS";"PCDOB";"78";"0,012"
"GO";"ABADIA DE GOIÁS";"PDT";"109";"0,017"
"GO";"ABADIA DE GOIÁS";"PL";"72";"0,011"
"GO";"ABADIA DE GOIÁS";"PMN";"3";"0,000"
"GO";"ABADIA DE GOIÁS";"PODE";"60";"0,009"
"GO";"ABADIA DE GOIÁS";"PP";"276";"0,042"
"GO";"ABADIA DE GOIÁS";"PROS";"13";"0,002"
"GO";"ABADIA DE GOIÁS";"PRTB";"41";"0,006"
"GO";"ABADIA DE GOIÁS";"PSB";"78";"0,012"
"GO";"ABADIA DE GOIÁS";"PSC";"56";"0,009"
"GO";"ABADIA DE GOIÁS";"PSD";"54";"0,008"
"GO";"ABADIA DE GOIÁS";"PSDB";"108";"0,016"
"GO";"ABADIA DE GOIÁS";"PSL";"11";"0,002"
"GO";"ABADIA DE GOIÁS";"PSOL";"14";"0,002"
"GO";"ABADIA DE GOIÁS";"PT";"133";"0,020"
"GO";"ABADIA DE GOIÁS";"PTB";"69";"0,011"
"GO";"ABADIA DE GOIÁS";"PTC";"22";"0,003"
"GO";"ABADIA DE GOIÁS";"PV";"3";"0,000"
"GO";"ABADIA DE GOIÁS";"REDE";"1";"0,000"
"GO";"ABADIA DE GOIÁS";"REPUBLICANOS";"101";"0,015"
"GO";"ABADIA DE GOIÁS";"SOLIDARIEDADE";"7";"0,001"
"GO";"ABADIÂNIA";"AVANTE";"34";"0,005"
"GO";"ABADIÂNIA";"CIDADANIA";"66";"0,010"
"GO";"ABADIÂNIA";"DEM";"97";"0,015"
"GO";"ABADIÂNIA";"MDB";"347";"0,053"
"GO";"ABADIÂNIA";"PATRIOTA";"21";"0,003"
"GO";"ABADIÂNIA";"PCDOB";"27";"0,004"
"GO";"ABADIÂNIA";"PDT";"112";"0,017"
"GO";"ABADIÂNIA";"PL";"139";"0,021"
"GO";"ABADIÂNIA";"PMN";"31";"0,005"
"GO";"ABADIÂNIA";"PODE";"40";"0,006"
"GO";"ABADIÂNIA";"PP";"151";"0,023"
"GO";"ABADIÂNIA";"PROS";"36";"0,005"
"GO";"ABADIÂNIA";"PRTB";"84";"0,013"
"GO";"ABADIÂNIA";"PSB";"16";"0,002"
"GO";"ABADIÂNIA";"PSC";"48";"0,007"
"GO";"ABADIÂNIA";"PSD";"78";"0,012"
"GO";"ABADIÂNIA";"PSDB";"214";"0,033"
"GO";"ABADIÂNIA";"PSL";"3";"0,000"
"GO";"ABADIÂNIA";"PT";"109";"0,017"
"GO";"ABADIÂNIA";"PTB";"174";"0,027"
"GO";"ABADIÂNIA";"PTC";"43";"0,007"
"GO";"ABADIÂNIA";"PV";"42";"0,006"
"GO";"ABADIÂNIA";"REPUBLICANOS";"9";"0,001"
"GO";"ABADIÂNIA";"SOLIDARIEDADE";"18";"0,003"
"GO";"ACREÚNA";"AVANTE";"17";"0,003"
"GO";"ACREÚNA";"CIDADANIA";"58";"0,009"
"GO";"ACREÚNA";"DC";"108";"0,016"
"GO";"ACREÚNA";"DEM";"161";"0,025"
"GO";"ACREÚNA";"MDB";"268";"0,041"
"GO";"ACREÚNA";"PATRIOTA";"56";"0,009"
"GO";"ACREÚNA";"PCDOB";"91";"0,014"
"GO";"ACREÚNA";"PDT";"133";"0,020"
"GO";"ACREÚNA";"PL";"83";"0,013"
"GO";"ACREÚNA";"PMB";"82";"0,012"
"GO";"ACREÚNA";"PMN";"9";"0,001"
"GO";"ACREÚNA";"PODE";"63";"0,010"
"GO";"ACREÚNA";"PP";"347";"0,053"
"GO";"ACREÚNA";"PROS";"17";"0,003"
"GO";"ACREÚNA";"PRTB";"12";"0,002"
"GO";"ACREÚNA";"PSB";"78";"0,012"
