"UF";"Abrangência";"Partido";"Eleitores";"%"
"MA";"AÇAILÂNDIA";"AVANTE";"50";"0,009"
"MA";"AÇAILÂNDIA";"CIDADANIA";"96";"0,017"
"MA";"AÇAILÂNDIA";"DC";"283";"0,050"
"MA";"AÇAILÂNDIA";"DEM";"241";"0,043"
"MA";"AÇAILÂNDIA";"MDB";"352";"0,063"
"MA";"AÇAILÂNDIA";"NOVO";"2";"0,000"
"MA";"AÇAILÂNDIA";"PATRIOTA";"158";"0,028"
"MA";"AÇAILÂNDIA";"PCB";"23";"0,004"
"MA";"AÇAILÂNDIA";"PCDOB";"188";"0,034"
"MA";"AÇAILÂNDIA";"PCO";"1";"0,000"
"MA";"AÇAILÂNDIA";"PDT";"223";"0,040"
"MA";"AÇAILÂNDIA";"PL";"279";"0,050"
"MA";"AÇAILÂNDIA";"PMB";"40";"0,007"
"MA";"AÇAILÂNDIA";"PMN";"227";"0,040"
"MA";"AÇAILÂNDIA";"PODE";"475";"0,085"
"MA";"AÇAILÂNDIA";"PP";"435";"0,078"
"MA";"AÇAILÂNDIA";"PROS";"52";"0,009"
"MA";"AÇAILÂNDIA";"PRTB";"149";"0,027"
"MA";"AÇAILÂNDIA";"PSB";"221";"0,039"
"MA";"AÇAILÂNDIA";"PSC";"219";"0,039"
"MA";"AÇAILÂNDIA";"PSD";"169";"0,030"
"MA";"AÇAILÂNDIA";"PSDB";"797";"0,142"
"MA";"AÇAILÂNDIA";"PSL";"30";"0,005"
"MA";"AÇAILÂNDIA";"PSOL";"129";"0,023"
"MA";"AÇAILÂNDIA";"PT";"404";"0,072"
"MA";"AÇAILÂNDIA";"PTB";"497";"0,089"
"MA";"AÇAILÂNDIA";"PTC";"181";"0,032"
"MA";"AÇAILÂNDIA";"PV";"117";"0,021"
"MA";"AÇAILÂNDIA";"REDE";"25";"0,004"
"MA";"AÇAILÂNDIA";"REPUBLICANOS";"227";"0,040"
"MA";"AÇAILÂNDIA";"SOLIDARIEDADE";"29";"0,005"
"MA";"AÇAILÂNDIA";"UP";"1";"0,000"
"MA";"AFONSO CUNHA";"AVANTE";"19";"0,003"
"MA";"AFONSO CUNHA";"CIDADANIA";"27";"0,005"
"MA";"AFONSO CUNHA";"DC";"14";"0,002"
"MA";"AFONSO CUNHA";"DEM";"80";"0,014"
"MA";"AFONSO CUNHA";"MDB";"92";"0,016"
"MA";"AFONSO CUNHA";"PATRIOTA";"70";"0,012"
"MA";"AFONSO CUNHA";"PCDOB";"73";"0,013"
"MA";"AFONSO CUNHA";"PDT";"98";"0,017"
"MA";"AFONSO CUNHA";"PL";"63";"0,011"
"MA";"AFONSO CUNHA";"PMN";"14";"0,002"
"MA";"AFONSO CUNHA";"PODE";"27";"0,005"
"MA";"AFONSO CUNHA";"PP";"83";"0,015"
"MA";"AFONSO CUNHA";"PROS";"54";"0,010"
"MA";"AFONSO CUNHA";"PRTB";"36";"0,006"
"MA";"AFONSO CUNHA";"PSB";"93";"0,017"
"MA";"AFONSO CUNHA";"PSC";"31";"0,006"
"MA";"AFONSO CUNHA";"PSD";"37";"0,007"
"MA";"AFONSO CUNHA";"PSDB";"52";"0,009"
"MA";"AFONSO CUNHA";"PSL";"4";"0,001"
"MA";"AFONSO CUNHA";"PSOL";"1";"0,000"
"MA";"AFONSO CUNHA";"PT";"25";"0,004"
"MA";"AFONSO CUNHA";"PTB";"81";"0,014"
"MA";"AFONSO CUNHA";"PTC";"40";"0,007"
"MA";"AFONSO CUNHA";"PV";"28";"0,005"
"MA";"AFONSO CUNHA";"REDE";"1";"0,000"
"MA";"AFONSO CUNHA";"REPUBLICANOS";"41";"0,007"
"MA";"AFONSO CUNHA";"SOLIDARIEDADE";"4";"0,001"
"MA";"ÁGUA DOCE DO MARANHÃO";"AVANTE";"5";"0,001"
"MA";"ÁGUA DOCE DO MARANHÃO";"CIDADANIA";"38";"0,007"
"MA";"ÁGUA DOCE DO MARANHÃO";"DC";"26";"0,005"
"MA";"ÁGUA DOCE DO MARANHÃO";"DEM";"135";"0,024"
"MA";"ÁGUA DOCE DO MARANHÃO";"MDB";"123";"0,022"
"MA";"ÁGUA DOCE DO MARANHÃO";"PATRIOTA";"45";"0,008"
"MA";"ÁGUA DOCE DO MARANHÃO";"PCDOB";"27";"0,005"
"MA";"ÁGUA DOCE DO MARANHÃO";"PDT";"142";"0,025"
"MA";"ÁGUA DOCE DO MARANHÃO";"PL";"69";"0,012"
"MA";"ÁGUA DOCE DO MARANHÃO";"PMN";"75";"0,013"
"MA";"ÁGUA DOCE DO MARANHÃO";"PODE";"19";"0,003"
"MA";"ÁGUA DOCE DO MARANHÃO";"PP";"46";"0,008"
"MA";"ÁGUA DOCE DO MARANHÃO";"PROS";"2";"0,000"
"MA";"ÁGUA DOCE DO MARANHÃO";"PRTB";"65";"0,012"
