"UF";"Abrangência";"Partido";"Eleitores";"%"
"MG";"ABADIA DOS DOURADOS";"AVANTE";"1";"0,000"
"MG";"ABADIA DOS DOURADOS";"CIDADANIA";"62";"0,004"
"MG";"ABADIA DOS DOURADOS";"DEM";"107";"0,006"
"MG";"ABADIA DOS DOURADOS";"MDB";"70";"0,004"
"MG";"ABADIA DOS DOURADOS";"PDT";"58";"0,003"
"MG";"ABADIA DOS DOURADOS";"PL";"65";"0,004"
"MG";"ABADIA DOS DOURADOS";"PMN";"1";"0,000"
"MG";"ABADIA DOS DOURADOS";"PODE";"1";"0,000"
"MG";"ABADIA DOS DOURADOS";"PP";"50";"0,003"
"MG";"ABADIA DOS DOURADOS";"PSB";"4";"0,000"
"MG";"ABADIA DOS DOURADOS";"PSC";"34";"0,002"
"MG";"ABADIA DOS DOURADOS";"PSDB";"121";"0,007"
"MG";"ABADIA DOS DOURADOS";"PT";"57";"0,003"
"MG";"ABADIA DOS DOURADOS";"PTB";"126";"0,008"
"MG";"ABADIA DOS DOURADOS";"REPUBLICANOS";"12";"0,001"
"MG";"ABADIA DOS DOURADOS";"SOLIDARIEDADE";"1";"0,000"
"MG";"ABAETÉ";"AVANTE";"16";"0,001"
"MG";"ABAETÉ";"CIDADANIA";"120";"0,007"
"MG";"ABAETÉ";"DC";"132";"0,008"
"MG";"ABAETÉ";"DEM";"315";"0,019"
"MG";"ABAETÉ";"MDB";"147";"0,009"
"MG";"ABAETÉ";"NOVO";"2";"0,000"
"MG";"ABAETÉ";"PATRIOTA";"7";"0,000"
"MG";"ABAETÉ";"PCDOB";"4";"0,000"
"MG";"ABAETÉ";"PDT";"110";"0,007"
"MG";"ABAETÉ";"PL";"145";"0,009"
"MG";"ABAETÉ";"PMB";"9";"0,001"
"MG";"ABAETÉ";"PMN";"14";"0,001"
"MG";"ABAETÉ";"PODE";"64";"0,004"
"MG";"ABAETÉ";"PP";"184";"0,011"
"MG";"ABAETÉ";"PROS";"21";"0,001"
"MG";"ABAETÉ";"PRTB";"77";"0,005"
"MG";"ABAETÉ";"PSB";"19";"0,001"
"MG";"ABAETÉ";"PSC";"55";"0,003"
"MG";"ABAETÉ";"PSD";"28";"0,002"
"MG";"ABAETÉ";"PSDB";"69";"0,004"
"MG";"ABAETÉ";"PSL";"6";"0,000"
"MG";"ABAETÉ";"PSOL";"1";"0,000"
"MG";"ABAETÉ";"PSTU";"1";"0,000"
"MG";"ABAETÉ";"PT";"148";"0,009"
"MG";"ABAETÉ";"PTB";"140";"0,008"
"MG";"ABAETÉ";"PTC";"64";"0,004"
"MG";"ABAETÉ";"PV";"138";"0,008"
"MG";"ABAETÉ";"REDE";"4";"0,000"
"MG";"ABAETÉ";"REPUBLICANOS";"45";"0,003"
"MG";"ABAETÉ";"SOLIDARIEDADE";"98";"0,006"
"MG";"ABRE CAMPO";"AVANTE";"9";"0,001"
"MG";"ABRE CAMPO";"CIDADANIA";"39";"0,002"
"MG";"ABRE CAMPO";"DC";"2";"0,000"
"MG";"ABRE CAMPO";"DEM";"99";"0,006"
"MG";"ABRE CAMPO";"MDB";"152";"0,009"
"MG";"ABRE CAMPO";"PATRIOTA";"16";"0,001"
"MG";"ABRE CAMPO";"PCDOB";"25";"0,001"
"MG";"ABRE CAMPO";"PDT";"66";"0,004"
"MG";"ABRE CAMPO";"PL";"69";"0,004"
"MG";"ABRE CAMPO";"PMN";"27";"0,002"
"MG";"ABRE CAMPO";"PODE";"84";"0,005"
"MG";"ABRE CAMPO";"PP";"140";"0,008"
"MG";"ABRE CAMPO";"PRTB";"54";"0,003"
"MG";"ABRE CAMPO";"PSB";"34";"0,002"
"MG";"ABRE CAMPO";"PSC";"3";"0,000"
"MG";"ABRE CAMPO";"PSD";"39";"0,002"
"MG";"ABRE CAMPO";"PSDB";"97";"0,006"
"MG";"ABRE CAMPO";"PSL";"1";"0,000"
"MG";"ABRE CAMPO";"PT";"274";"0,016"
"MG";"ABRE CAMPO";"PTB";"224";"0,013"
"MG";"ABRE CAMPO";"PTC";"17";"0,001"
"MG";"ABRE CAMPO";"PV";"88";"0,005"
"MG";"ABRE CAMPO";"REPUBLICANOS";"133";"0,008"
"MG";"ABRE CAMPO";"SOLIDARIEDADE";"9";"0,001"
"MG";"ACAIACA";"AVANTE";"15";"0,001"
"MG";"ACAIACA";"CIDADANIA";"9";"0,001"
"MG";"ACAIACA";"DEM";"67";"0,004"
"MG";"ACAIACA";"MDB";"97";"0,006"
"MG";"ACAIACA";"PATRIOTA";"12";"0,001"
"MG";"ACAIACA";"PCDOB";"2";"0,000"
"MG";"ACAIACA";"PDT";"61";"0,004"
"MG";"ACAIACA";"PL";"29";"0,002"
"MG";"ACAIACA";"PMN";"111";"0,007"
"MG";"ACAIACA";"PODE";"5";"0,000"
"MG";"ACAIACA";"PP";"78";"0,005"
"MG";"ACAIACA";"PRTB";"6";"0,000"
"MG";"ACAIACA";"PSB";"23";"0,001"
"MG";"ACAIACA";"PSD";"1";"0,000"
"MG";"ACAIACA";"PSDB";"22";"0,001"
"MG";"ACAIACA";"PT";"91";"0,005"
"MG";"ACAIACA";"PTB";"12";"0,001"
"MG";"ACAIACA";"PV";"58";"0,003"
"MG";"AÇUCENA";"AVANTE";"97";"0,006"
"MG";"AÇUCENA";"CIDADANIA";"30";"0,002"
"MG";"AÇUCENA";"DEM";"154";"0,009"
"MG";"AÇUCENA";"MDB";"184";"0,011"
"MG";"AÇUCENA";"NOVO";"1";"0,000"
"MG";"AÇUCENA";"PATRIOTA";"29";"0,002"
"MG";"AÇUCENA";"PCDOB";"23";"0,001"
"MG";"AÇUCENA";"PDT";"80";"0,005"
"MG";"AÇUCENA";"PL";"74";"0,004"
"MG";"AÇUCENA";"PMN";"9";"0,001"
"MG";"AÇUCENA";"PODE";"202";"0,012"
"MG";"AÇUCENA";"PP";"41";"0,002"
"MG";"AÇUCENA";"PROS";"9";"0,001"
"MG";"AÇUCENA";"PRTB";"57";"0,003"
"MG";"AÇUCENA";"PSB";"19";"0,001"
"MG";"AÇUCENA";"PSC";"23";"0,001"
"MG";"AÇUCENA";"PSD";"53";"0,003"
"MG";"AÇUCENA";"PSDB";"97";"0,006"
"MG";"AÇUCENA";"PSL";"3";"0,000"
"MG";"AÇUCENA";"PSOL";"1";"0,000"
"MG";"AÇUCENA";"PT";"181";"0,011"
"MG";"AÇUCENA";"PTB";"118";"0,007"
"MG";"AÇUCENA";"PTC";"22";"0,001"
"MG";"AÇUCENA";"PV";"28";"0,002"
"MG";"AÇUCENA";"REPUBLICANOS";"7";"0,000"
"MG";"AÇUCENA";"SOLIDARIEDADE";"60";"0,004"
"MG";"ÁGUA BOA";"AVANTE";"4";"0,000"
"MG";"ÁGUA BOA";"CIDADANIA";"14";"0,001"
"MG";"ÁGUA BOA";"DC";"21";"0,001"
"MG";"ÁGUA BOA";"DEM";"95";"0,006"
"MG";"ÁGUA BOA";"MDB";"119";"0,007"
"MG";"ÁGUA BOA";"PATRIOTA";"2";"0,000"
"MG";"ÁGUA BOA";"PCDOB";"52";"0,003"
"MG";"ÁGUA BOA";"PDT";"94";"0,006"
"MG";"ÁGUA BOA";"PL";"26";"0,002"
"MG";"ÁGUA BOA";"PMN";"12";"0,001"
"MG";"ÁGUA BOA";"PODE";"20";"0,001"
"MG";"ÁGUA BOA";"PP";"59";"0,004"
"MG";"ÁGUA BOA";"PROS";"1";"0,000"
"MG";"ÁGUA BOA";"PSB";"44";"0,003"
"MG";"ÁGUA BOA";"PSC";"49";"0,003"
"MG";"ÁGUA BOA";"PSD";"4";"0,000"
"MG";"ÁGUA BOA";"PSDB";"161";"0,010"
"MG";"ÁGUA BOA";"PSL";"3";"0,000"
"MG";"ÁGUA BOA";"PT";"182";"0,011"
