"UF";"Abrangência";"Partido";"Eleitores";"%"
"MS";"ÁGUA CLARA";"AVANTE";"33";"0,011"
"MS";"ÁGUA CLARA";"CIDADANIA";"87";"0,030"
"MS";"ÁGUA CLARA";"DC";"2";"0,001"
"MS";"ÁGUA CLARA";"DEM";"140";"0,048"
"MS";"ÁGUA CLARA";"MDB";"195";"0,066"
"MS";"ÁGUA CLARA";"NOVO";"1";"0,000"
"MS";"ÁGUA CLARA";"PATRIOTA";"47";"0,016"
"MS";"ÁGUA CLARA";"PCDOB";"3";"0,001"
"MS";"ÁGUA CLARA";"PDT";"145";"0,049"
"MS";"ÁGUA CLARA";"PL";"166";"0,057"
"MS";"ÁGUA CLARA";"PMB";"1";"0,000"
"MS";"ÁGUA CLARA";"PMN";"51";"0,017"
"MS";"ÁGUA CLARA";"PODE";"31";"0,011"
"MS";"ÁGUA CLARA";"PP";"76";"0,026"
"MS";"ÁGUA CLARA";"PSB";"56";"0,019"
"MS";"ÁGUA CLARA";"PSC";"21";"0,007"
"MS";"ÁGUA CLARA";"PSD";"161";"0,055"
"MS";"ÁGUA CLARA";"PSDB";"321";"0,109"
"MS";"ÁGUA CLARA";"PSL";"5";"0,002"
"MS";"ÁGUA CLARA";"PSOL";"3";"0,001"
"MS";"ÁGUA CLARA";"PSTU";"1";"0,000"
"MS";"ÁGUA CLARA";"PT";"178";"0,061"
"MS";"ÁGUA CLARA";"PTB";"297";"0,101"
"MS";"ÁGUA CLARA";"PTC";"5";"0,002"
"MS";"ÁGUA CLARA";"PV";"25";"0,009"
"MS";"ÁGUA CLARA";"REPUBLICANOS";"57";"0,019"
"MS";"ÁGUA CLARA";"SOLIDARIEDADE";"142";"0,048"
"MS";"ALCINÓPOLIS";"AVANTE";"1";"0,000"
"MS";"ALCINÓPOLIS";"CIDADANIA";"15";"0,005"
"MS";"ALCINÓPOLIS";"DEM";"232";"0,079"
"MS";"ALCINÓPOLIS";"MDB";"191";"0,065"
"MS";"ALCINÓPOLIS";"PATRIOTA";"3";"0,001"
"MS";"ALCINÓPOLIS";"PDT";"112";"0,038"
"MS";"ALCINÓPOLIS";"PL";"155";"0,053"
"MS";"ALCINÓPOLIS";"PODE";"6";"0,002"
"MS";"ALCINÓPOLIS";"PP";"30";"0,010"
"MS";"ALCINÓPOLIS";"PROS";"1";"0,000"
"MS";"ALCINÓPOLIS";"PSB";"32";"0,011"
"MS";"ALCINÓPOLIS";"PSC";"2";"0,001"
"MS";"ALCINÓPOLIS";"PSD";"20";"0,007"
"MS";"ALCINÓPOLIS";"PSDB";"163";"0,055"
"MS";"ALCINÓPOLIS";"PSL";"1";"0,000"
"MS";"ALCINÓPOLIS";"PSOL";"2";"0,001"
"MS";"ALCINÓPOLIS";"PT";"44";"0,015"
"MS";"ALCINÓPOLIS";"PTB";"70";"0,024"
"MS";"ALCINÓPOLIS";"PTC";"2";"0,001"
"MS";"ALCINÓPOLIS";"PV";"5";"0,002"
"MS";"ALCINÓPOLIS";"REPUBLICANOS";"5";"0,002"
"MS";"ALCINÓPOLIS";"SOLIDARIEDADE";"30";"0,010"
"MS";"AMAMBAI";"AVANTE";"109";"0,037"
"MS";"AMAMBAI";"CIDADANIA";"154";"0,052"
"MS";"AMAMBAI";"DC";"17";"0,006"
"MS";"AMAMBAI";"DEM";"243";"0,083"
"MS";"AMAMBAI";"MDB";"409";"0,139"
"MS";"AMAMBAI";"NOVO";"1";"0,000"
"MS";"AMAMBAI";"PATRIOTA";"126";"0,043"
"MS";"AMAMBAI";"PCDOB";"35";"0,012"
"MS";"AMAMBAI";"PCO";"1";"0,000"
"MS";"AMAMBAI";"PDT";"293";"0,100"
"MS";"AMAMBAI";"PL";"301";"0,102"
"MS";"AMAMBAI";"PMN";"26";"0,009"
"MS";"AMAMBAI";"PODE";"42";"0,014"
"MS";"AMAMBAI";"PP";"139";"0,047"
"MS";"AMAMBAI";"PROS";"2";"0,001"
"MS";"AMAMBAI";"PRTB";"6";"0,002"
"MS";"AMAMBAI";"PSB";"151";"0,051"
"MS";"AMAMBAI";"PSC";"37";"0,013"
"MS";"AMAMBAI";"PSD";"131";"0,045"
"MS";"AMAMBAI";"PSDB";"744";"0,253"
"MS";"AMAMBAI";"PSL";"32";"0,011"
"MS";"AMAMBAI";"PSOL";"1";"0,000"
"MS";"AMAMBAI";"PSTU";"5";"0,002"
"MS";"AMAMBAI";"PT";"388";"0,132"
"MS";"AMAMBAI";"PTB";"162";"0,055"
"MS";"AMAMBAI";"PTC";"26";"0,009"
"MS";"AMAMBAI";"PV";"14";"0,005"
"MS";"AMAMBAI";"REPUBLICANOS";"132";"0,045"
"MS";"AMAMBAI";"SOLIDARIEDADE";"52";"0,018"
"MS";"ANASTÁCIO";"AVANTE";"80";"0,027"
"MS";"ANASTÁCIO";"CIDADANIA";"41";"0,014"
"MS";"ANASTÁCIO";"DC";"33";"0,011"
"MS";"ANASTÁCIO";"DEM";"151";"0,051"
"MS";"ANASTÁCIO";"MDB";"298";"0,101"
"MS";"ANASTÁCIO";"PATRIOTA";"16";"0,005"
"MS";"ANASTÁCIO";"PCDOB";"16";"0,005"
"MS";"ANASTÁCIO";"PDT";"256";"0,087"
