"UF";"Abrangência";"Partido";"Eleitores";"%"
"MT";"ACORIZAL";"CIDADANIA";"77";"0,022"
"MT";"ACORIZAL";"DC";"4";"0,001"
"MT";"ACORIZAL";"DEM";"230";"0,066"
"MT";"ACORIZAL";"MDB";"149";"0,043"
"MT";"ACORIZAL";"NOVO";"2";"0,001"
"MT";"ACORIZAL";"PATRIOTA";"12";"0,003"
"MT";"ACORIZAL";"PDT";"112";"0,032"
"MT";"ACORIZAL";"PL";"27";"0,008"
"MT";"ACORIZAL";"PMB";"7";"0,002"
"MT";"ACORIZAL";"PMN";"20";"0,006"
"MT";"ACORIZAL";"PODE";"31";"0,009"
"MT";"ACORIZAL";"PP";"52";"0,015"
"MT";"ACORIZAL";"PSB";"31";"0,009"
"MT";"ACORIZAL";"PSC";"29";"0,008"
"MT";"ACORIZAL";"PSD";"65";"0,019"
"MT";"ACORIZAL";"PSDB";"97";"0,028"
"MT";"ACORIZAL";"PSL";"1";"0,000"
"MT";"ACORIZAL";"PSOL";"4";"0,001"
"MT";"ACORIZAL";"PT";"46";"0,013"
"MT";"ACORIZAL";"PTB";"55";"0,016"
"MT";"ACORIZAL";"PTC";"2";"0,001"
"MT";"ACORIZAL";"PV";"20";"0,006"
"MT";"ACORIZAL";"REPUBLICANOS";"3";"0,001"
"MT";"ACORIZAL";"SOLIDARIEDADE";"59";"0,017"
"MT";"ÁGUA BOA";"AVANTE";"6";"0,002"
"MT";"ÁGUA BOA";"CIDADANIA";"109";"0,031"
"MT";"ÁGUA BOA";"DC";"11";"0,003"
"MT";"ÁGUA BOA";"DEM";"402";"0,116"
"MT";"ÁGUA BOA";"MDB";"388";"0,112"
"MT";"ÁGUA BOA";"NOVO";"3";"0,001"
"MT";"ÁGUA BOA";"PATRIOTA";"6";"0,002"
"MT";"ÁGUA BOA";"PCDOB";"15";"0,004"
"MT";"ÁGUA BOA";"PDT";"246";"0,071"
"MT";"ÁGUA BOA";"PL";"230";"0,066"
"MT";"ÁGUA BOA";"PMB";"2";"0,001"
"MT";"ÁGUA BOA";"PMN";"5";"0,001"
"MT";"ÁGUA BOA";"PODE";"13";"0,004"
"MT";"ÁGUA BOA";"PP";"148";"0,043"
"MT";"ÁGUA BOA";"PROS";"3";"0,001"
"MT";"ÁGUA BOA";"PRTB";"9";"0,003"
"MT";"ÁGUA BOA";"PSB";"104";"0,030"
"MT";"ÁGUA BOA";"PSC";"121";"0,035"
"MT";"ÁGUA BOA";"PSD";"56";"0,016"
"MT";"ÁGUA BOA";"PSDB";"433";"0,125"
"MT";"ÁGUA BOA";"PSL";"8";"0,002"
"MT";"ÁGUA BOA";"PSOL";"3";"0,001"
"MT";"ÁGUA BOA";"PT";"111";"0,032"
"MT";"ÁGUA BOA";"PTB";"130";"0,037"
"MT";"ÁGUA BOA";"PTC";"4";"0,001"
"MT";"ÁGUA BOA";"PV";"44";"0,013"
"MT";"ÁGUA BOA";"REPUBLICANOS";"56";"0,016"
"MT";"ÁGUA BOA";"SOLIDARIEDADE";"19";"0,005"
"MT";"ALTA FLORESTA";"AVANTE";"3";"0,001"
"MT";"ALTA FLORESTA";"CIDADANIA";"413";"0,119"
"MT";"ALTA FLORESTA";"DC";"84";"0,024"
"MT";"ALTA FLORESTA";"DEM";"417";"0,120"
"MT";"ALTA FLORESTA";"MDB";"422";"0,122"
"MT";"ALTA FLORESTA";"NOVO";"7";"0,002"
"MT";"ALTA FLORESTA";"PATRIOTA";"102";"0,029"
"MT";"ALTA FLORESTA";"PCDOB";"27";"0,008"
"MT";"ALTA FLORESTA";"PDT";"289";"0,083"
"MT";"ALTA FLORESTA";"PL";"342";"0,099"
"MT";"ALTA FLORESTA";"PMB";"5";"0,001"
"MT";"ALTA FLORESTA";"PMN";"65";"0,019"
"MT";"ALTA FLORESTA";"PODE";"69";"0,020"
"MT";"ALTA FLORESTA";"PP";"181";"0,052"
"MT";"ALTA FLORESTA";"PROS";"5";"0,001"
"MT";"ALTA FLORESTA";"PRTB";"92";"0,027"
"MT";"ALTA FLORESTA";"PSB";"143";"0,041"
"MT";"ALTA FLORESTA";"PSC";"180";"0,052"
"MT";"ALTA FLORESTA";"PSD";"117";"0,034"
"MT";"ALTA FLORESTA";"PSDB";"374";"0,108"
"MT";"ALTA FLORESTA";"PSL";"10";"0,003"
"MT";"ALTA FLORESTA";"PSOL";"31";"0,009"
"MT";"ALTA FLORESTA";"PT";"428";"0,123"
"MT";"ALTA FLORESTA";"PTB";"169";"0,049"
"MT";"ALTA FLORESTA";"PTC";"23";"0,007"
"MT";"ALTA FLORESTA";"PV";"29";"0,008"
"MT";"ALTA FLORESTA";"REDE";"1";"0,000"
"MT";"ALTA FLORESTA";"REPUBLICANOS";"137";"0,039"
"MT";"ALTA FLORESTA";"SOLIDARIEDADE";"134";"0,039"
"MT";"ALTO ARAGUAIA";"AVANTE";"1";"0,000"
"MT";"ALTO ARAGUAIA";"CIDADANIA";"67";"0,019"
"MT";"ALTO ARAGUAIA";"DC";"12";"0,003"
"MT";"ALTO ARAGUAIA";"DEM";"266";"0,077"
"MT";"ALTO ARAGUAIA";"MDB";"338";"0,097"
"MT";"ALTO ARAGUAIA";"NOVO";"2";"0,001"
"MT";"ALTO ARAGUAIA";"PATRIOTA";"13";"0,004"
"MT";"ALTO ARAGUAIA";"PCDOB";"9";"0,003"
"MT";"ALTO ARAGUAIA";"PDT";"117";"0,034"
"MT";"ALTO ARAGUAIA";"PL";"191";"0,055"
"MT";"ALTO ARAGUAIA";"PMB";"7";"0,002"
"MT";"ALTO ARAGUAIA";"PMN";"25";"0,007"
"MT";"ALTO ARAGUAIA";"PODE";"29";"0,008"
"MT";"ALTO ARAGUAIA";"PP";"193";"0,056"
"MT";"ALTO ARAGUAIA";"PROS";"14";"0,004"
"MT";"ALTO ARAGUAIA";"PRTB";"3";"0,001"
"MT";"ALTO ARAGUAIA";"PSB";"172";"0,050"
"MT";"ALTO ARAGUAIA";"PSC";"22";"0,006"
"MT";"ALTO ARAGUAIA";"PSD";"174";"0,050"
"MT";"ALTO ARAGUAIA";"PSDB";"220";"0,063"
