"UF";"Abrangência";"Partido";"Eleitores";"%"
"PA";"ABAETETUBA";"AVANTE";"236";"0,040"
"PA";"ABAETETUBA";"CIDADANIA";"631";"0,107"
"PA";"ABAETETUBA";"DC";"133";"0,023"
"PA";"ABAETETUBA";"DEM";"326";"0,055"
"PA";"ABAETETUBA";"MDB";"1420";"0,241"
"PA";"ABAETETUBA";"NOVO";"2";"0,000"
"PA";"ABAETETUBA";"PATRIOTA";"262";"0,044"
"PA";"ABAETETUBA";"PCB";"115";"0,020"
"PA";"ABAETETUBA";"PCDOB";"198";"0,034"
"PA";"ABAETETUBA";"PDT";"818";"0,139"
"PA";"ABAETETUBA";"PL";"356";"0,060"
"PA";"ABAETETUBA";"PMB";"220";"0,037"
"PA";"ABAETETUBA";"PMN";"41";"0,007"
"PA";"ABAETETUBA";"PODE";"105";"0,018"
"PA";"ABAETETUBA";"PP";"539";"0,091"
"PA";"ABAETETUBA";"PROS";"48";"0,008"
"PA";"ABAETETUBA";"PRTB";"57";"0,010"
"PA";"ABAETETUBA";"PSB";"468";"0,079"
"PA";"ABAETETUBA";"PSC";"289";"0,049"
"PA";"ABAETETUBA";"PSD";"196";"0,033"
"PA";"ABAETETUBA";"PSDB";"778";"0,132"
"PA";"ABAETETUBA";"PSL";"9";"0,002"
"PA";"ABAETETUBA";"PSOL";"651";"0,110"
"PA";"ABAETETUBA";"PSTU";"1";"0,000"
"PA";"ABAETETUBA";"PT";"1071";"0,182"
"PA";"ABAETETUBA";"PTB";"265";"0,045"
"PA";"ABAETETUBA";"PTC";"76";"0,013"
"PA";"ABAETETUBA";"PV";"292";"0,050"
"PA";"ABAETETUBA";"REDE";"17";"0,003"
"PA";"ABAETETUBA";"REPUBLICANOS";"476";"0,081"
"PA";"ABAETETUBA";"SOLIDARIEDADE";"60";"0,010"
"PA";"ABEL FIGUEIREDO";"CIDADANIA";"26";"0,004"
"PA";"ABEL FIGUEIREDO";"DC";"11";"0,002"
"PA";"ABEL FIGUEIREDO";"DEM";"90";"0,015"
"PA";"ABEL FIGUEIREDO";"MDB";"89";"0,015"
"PA";"ABEL FIGUEIREDO";"NOVO";"1";"0,000"
"PA";"ABEL FIGUEIREDO";"PCDOB";"12";"0,002"
"PA";"ABEL FIGUEIREDO";"PDT";"51";"0,009"
"PA";"ABEL FIGUEIREDO";"PL";"64";"0,011"
"PA";"ABEL FIGUEIREDO";"PODE";"7";"0,001"
"PA";"ABEL FIGUEIREDO";"PP";"143";"0,024"
"PA";"ABEL FIGUEIREDO";"PROS";"14";"0,002"
"PA";"ABEL FIGUEIREDO";"PSB";"37";"0,006"
"PA";"ABEL FIGUEIREDO";"PSC";"70";"0,012"
"PA";"ABEL FIGUEIREDO";"PSD";"1";"0,000"
"PA";"ABEL FIGUEIREDO";"PSDB";"117";"0,020"
"PA";"ABEL FIGUEIREDO";"PSOL";"1";"0,000"
"PA";"ABEL FIGUEIREDO";"PT";"82";"0,014"
"PA";"ABEL FIGUEIREDO";"PTB";"47";"0,008"
"PA";"ABEL FIGUEIREDO";"PTC";"1";"0,000"
