"UF";"Abrangência";"Partido";"Eleitores";"%"
"PB";"ÁGUA BRANCA";"AVANTE";"31";"0,009"
"PB";"ÁGUA BRANCA";"CIDADANIA";"24";"0,007"
"PB";"ÁGUA BRANCA";"DC";"3";"0,001"
"PB";"ÁGUA BRANCA";"DEM";"416";"0,126"
"PB";"ÁGUA BRANCA";"MDB";"170";"0,052"
"PB";"ÁGUA BRANCA";"PATRIOTA";"15";"0,005"
"PB";"ÁGUA BRANCA";"PDT";"3";"0,001"
"PB";"ÁGUA BRANCA";"PL";"18";"0,005"
"PB";"ÁGUA BRANCA";"PODE";"1";"0,000"
"PB";"ÁGUA BRANCA";"PP";"134";"0,041"
"PB";"ÁGUA BRANCA";"PROS";"14";"0,004"
"PB";"ÁGUA BRANCA";"PRTB";"1";"0,000"
"PB";"ÁGUA BRANCA";"PSB";"26";"0,008"
"PB";"ÁGUA BRANCA";"PSC";"2";"0,001"
"PB";"ÁGUA BRANCA";"PSD";"1";"0,000"
"PB";"ÁGUA BRANCA";"PSDB";"167";"0,051"
"PB";"ÁGUA BRANCA";"PSL";"3";"0,001"
"PB";"ÁGUA BRANCA";"PT";"17";"0,005"
"PB";"ÁGUA BRANCA";"PTB";"5";"0,002"
"PB";"ÁGUA BRANCA";"PTC";"12";"0,004"
"PB";"ÁGUA BRANCA";"REPUBLICANOS";"54";"0,016"
"PB";"AGUIAR";"AVANTE";"28";"0,008"
"PB";"AGUIAR";"CIDADANIA";"56";"0,017"
"PB";"AGUIAR";"DC";"43";"0,013"
"PB";"AGUIAR";"DEM";"82";"0,025"
"PB";"AGUIAR";"MDB";"63";"0,019"
"PB";"AGUIAR";"NOVO";"1";"0,000"
"PB";"AGUIAR";"PATRIOTA";"48";"0,015"
"PB";"AGUIAR";"PCDOB";"63";"0,019"
"PB";"AGUIAR";"PDT";"16";"0,005"
"PB";"AGUIAR";"PL";"93";"0,028"
"PB";"AGUIAR";"PMB";"5";"0,002"
"PB";"AGUIAR";"PMN";"17";"0,005"
"PB";"AGUIAR";"PODE";"10";"0,003"
"PB";"AGUIAR";"PP";"111";"0,034"
"PB";"AGUIAR";"PROS";"22";"0,007"
"PB";"AGUIAR";"PRTB";"10";"0,003"
"PB";"AGUIAR";"PSB";"52";"0,016"
"PB";"AGUIAR";"PSC";"24";"0,007"
"PB";"AGUIAR";"PSD";"7";"0,002"
