"UF";"Abrangência";"Partido";"Eleitores";"%"
"PE";"ABREU E LIMA";"AVANTE";"139";"0,024"
"PE";"ABREU E LIMA";"CIDADANIA";"301";"0,053"
"PE";"ABREU E LIMA";"DC";"139";"0,024"
"PE";"ABREU E LIMA";"DEM";"352";"0,062"
"PE";"ABREU E LIMA";"MDB";"584";"0,102"
"PE";"ABREU E LIMA";"PATRIOTA";"255";"0,045"
"PE";"ABREU E LIMA";"PCB";"29";"0,005"
"PE";"ABREU E LIMA";"PCDOB";"451";"0,079"
"PE";"ABREU E LIMA";"PDT";"421";"0,074"
"PE";"ABREU E LIMA";"PL";"541";"0,095"
"PE";"ABREU E LIMA";"PMB";"5";"0,001"
"PE";"ABREU E LIMA";"PMN";"200";"0,035"
"PE";"ABREU E LIMA";"PODE";"163";"0,028"
"PE";"ABREU E LIMA";"PP";"459";"0,080"
"PE";"ABREU E LIMA";"PROS";"57";"0,010"
"PE";"ABREU E LIMA";"PRTB";"50";"0,009"
"PE";"ABREU E LIMA";"PSB";"369";"0,064"
"PE";"ABREU E LIMA";"PSC";"52";"0,009"
"PE";"ABREU E LIMA";"PSD";"176";"0,031"
"PE";"ABREU E LIMA";"PSDB";"436";"0,076"
"PE";"ABREU E LIMA";"PSL";"41";"0,007"
"PE";"ABREU E LIMA";"PSOL";"198";"0,035"
"PE";"ABREU E LIMA";"PSTU";"4";"0,001"
"PE";"ABREU E LIMA";"PT";"381";"0,067"
"PE";"ABREU E LIMA";"PTB";"419";"0,073"
"PE";"ABREU E LIMA";"PTC";"334";"0,058"
"PE";"ABREU E LIMA";"PV";"113";"0,020"
"PE";"ABREU E LIMA";"REDE";"15";"0,003"
"PE";"ABREU E LIMA";"REPUBLICANOS";"183";"0,032"
"PE";"ABREU E LIMA";"SOLIDARIEDADE";"29";"0,005"
"PE";"ABREU E LIMA";"UP";"3";"0,001"
"PE";"AFOGADOS DA INGAZEIRA";"AVANTE";"5";"0,001"
"PE";"AFOGADOS DA INGAZEIRA";"CIDADANIA";"42";"0,007"
"PE";"AFOGADOS DA INGAZEIRA";"DC";"36";"0,006"
"PE";"AFOGADOS DA INGAZEIRA";"DEM";"67";"0,012"
"PE";"AFOGADOS DA INGAZEIRA";"MDB";"134";"0,023"
"PE";"AFOGADOS DA INGAZEIRA";"NOVO";"2";"0,000"
"PE";"AFOGADOS DA INGAZEIRA";"PATRIOTA";"85";"0,015"
"PE";"AFOGADOS DA INGAZEIRA";"PCB";"39";"0,007"
"PE";"AFOGADOS DA INGAZEIRA";"PCDOB";"56";"0,010"
"PE";"AFOGADOS DA INGAZEIRA";"PDT";"51";"0,009"
"PE";"AFOGADOS DA INGAZEIRA";"PL";"69";"0,012"
"PE";"AFOGADOS DA INGAZEIRA";"PMN";"28";"0,005"
"PE";"AFOGADOS DA INGAZEIRA";"PODE";"72";"0,013"
"PE";"AFOGADOS DA INGAZEIRA";"PP";"153";"0,027"
"PE";"AFOGADOS DA INGAZEIRA";"PROS";"5";"0,001"
"PE";"AFOGADOS DA INGAZEIRA";"PRTB";"16";"0,003"
"PE";"AFOGADOS DA INGAZEIRA";"PSB";"203";"0,035"
"PE";"AFOGADOS DA INGAZEIRA";"PSC";"55";"0,010"
"PE";"AFOGADOS DA INGAZEIRA";"PSD";"95";"0,017"
"PE";"AFOGADOS DA INGAZEIRA";"PSDB";"53";"0,009"
"PE";"AFOGADOS DA INGAZEIRA";"PSL";"1";"0,000"
"PE";"AFOGADOS DA INGAZEIRA";"PSOL";"45";"0,008"
"PE";"AFOGADOS DA INGAZEIRA";"PT";"321";"0,056"
"PE";"AFOGADOS DA INGAZEIRA";"PTB";"159";"0,028"
"PE";"AFOGADOS DA INGAZEIRA";"PTC";"118";"0,021"
"PE";"AFOGADOS DA INGAZEIRA";"PV";"62";"0,011"
"PE";"AFOGADOS DA INGAZEIRA";"REDE";"9";"0,002"
"PE";"AFOGADOS DA INGAZEIRA";"REPUBLICANOS";"42";"0,007"
"PE";"AFOGADOS DA INGAZEIRA";"SOLIDARIEDADE";"32";"0,006"
"PE";"AFOGADOS DA INGAZEIRA";"UP";"1";"0,000"
"PE";"AFRÂNIO";"CIDADANIA";"21";"0,004"
"PE";"AFRÂNIO";"DC";"12";"0,002"
"PE";"AFRÂNIO";"DEM";"9";"0,002"
"PE";"AFRÂNIO";"MDB";"209";"0,037"
"PE";"AFRÂNIO";"PATRIOTA";"2";"0,000"
"PE";"AFRÂNIO";"PCDOB";"3";"0,001"
"PE";"AFRÂNIO";"PDT";"40";"0,007"
"PE";"AFRÂNIO";"PL";"13";"0,002"
"PE";"AFRÂNIO";"PMN";"2";"0,000"
"PE";"AFRÂNIO";"PODE";"26";"0,005"
"PE";"AFRÂNIO";"PP";"36";"0,006"
"PE";"AFRÂNIO";"PRTB";"74";"0,013"
"PE";"AFRÂNIO";"PSB";"117";"0,020"
"PE";"AFRÂNIO";"PSC";"1";"0,000"
"PE";"AFRÂNIO";"PSD";"18";"0,003"
"PE";"AFRÂNIO";"PSDB";"16";"0,003"
"PE";"AFRÂNIO";"PSL";"13";"0,002"
"PE";"AFRÂNIO";"PSOL";"1";"0,000"
"PE";"AFRÂNIO";"PT";"151";"0,026"
"PE";"AFRÂNIO";"PTB";"109";"0,019"
"PE";"AFRÂNIO";"PTC";"8";"0,001"
"PE";"AFRÂNIO";"PV";"27";"0,005"
"PE";"AFRÂNIO";"REPUBLICANOS";"21";"0,004"
"PE";"AFRÂNIO";"SOLIDARIEDADE";"1";"0,000"
"PE";"AGRESTINA";"AVANTE";"3";"0,001"
"PE";"AGRESTINA";"CIDADANIA";"59";"0,010"
"PE";"AGRESTINA";"DC";"22";"0,004"
"PE";"AGRESTINA";"DEM";"131";"0,023"
"PE";"AGRESTINA";"MDB";"62";"0,011"
"PE";"AGRESTINA";"PATRIOTA";"40";"0,007"
"PE";"AGRESTINA";"PCDOB";"49";"0,009"
"PE";"AGRESTINA";"PDT";"93";"0,016"
"PE";"AGRESTINA";"PL";"44";"0,008"
"PE";"AGRESTINA";"PMN";"15";"0,003"
"PE";"AGRESTINA";"PODE";"42";"0,007"
"PE";"AGRESTINA";"PP";"147";"0,026"
"PE";"AGRESTINA";"PROS";"3";"0,001"
"PE";"AGRESTINA";"PRTB";"11";"0,002"
"PE";"AGRESTINA";"PSB";"104";"0,018"
"PE";"AGRESTINA";"PSC";"60";"0,010"
"PE";"AGRESTINA";"PSD";"17";"0,003"
