"UF";"Abrangência";"Partido";"Eleitores";"%"
"PI";"ACAUÃ";"CIDADANIA";"48";"0,016"
"PI";"ACAUÃ";"DEM";"20";"0,007"
"PI";"ACAUÃ";"MDB";"77";"0,025"
"PI";"ACAUÃ";"PCDOB";"5";"0,002"
"PI";"ACAUÃ";"PDT";"24";"0,008"
"PI";"ACAUÃ";"PL";"30";"0,010"
"PI";"ACAUÃ";"PMN";"2";"0,001"
"PI";"ACAUÃ";"PP";"35";"0,011"
"PI";"ACAUÃ";"PRTB";"6";"0,002"
"PI";"ACAUÃ";"PSB";"40";"0,013"
"PI";"ACAUÃ";"PSC";"2";"0,001"
"PI";"ACAUÃ";"PSD";"94";"0,031"
"PI";"ACAUÃ";"PSDB";"30";"0,010"
"PI";"ACAUÃ";"PT";"68";"0,022"
"PI";"ACAUÃ";"PTB";"81";"0,027"
"PI";"ACAUÃ";"PV";"21";"0,007"
"PI";"ACAUÃ";"REPUBLICANOS";"51";"0,017"
"PI";"ACAUÃ";"SOLIDARIEDADE";"3";"0,001"
"PI";"AGRICOLÂNDIA";"CIDADANIA";"71";"0,023"
"PI";"AGRICOLÂNDIA";"DEM";"147";"0,048"
"PI";"AGRICOLÂNDIA";"MDB";"142";"0,047"
"PI";"AGRICOLÂNDIA";"PATRIOTA";"8";"0,003"
"PI";"AGRICOLÂNDIA";"PCDOB";"3";"0,001"
"PI";"AGRICOLÂNDIA";"PDT";"66";"0,022"
"PI";"AGRICOLÂNDIA";"PL";"44";"0,014"
"PI";"AGRICOLÂNDIA";"PMB";"2";"0,001"
"PI";"AGRICOLÂNDIA";"PMN";"4";"0,001"
"PI";"AGRICOLÂNDIA";"PODE";"4";"0,001"
"PI";"AGRICOLÂNDIA";"PP";"86";"0,028"
"PI";"AGRICOLÂNDIA";"PRTB";"23";"0,008"
"PI";"AGRICOLÂNDIA";"PSB";"9";"0,003"
"PI";"AGRICOLÂNDIA";"PSD";"62";"0,020"
"PI";"AGRICOLÂNDIA";"PSDB";"85";"0,028"
"PI";"AGRICOLÂNDIA";"PSL";"1";"0,000"
"PI";"AGRICOLÂNDIA";"PSOL";"1";"0,000"
"PI";"AGRICOLÂNDIA";"PT";"50";"0,016"
"PI";"AGRICOLÂNDIA";"PTB";"73";"0,024"
"PI";"AGRICOLÂNDIA";"REPUBLICANOS";"36";"0,012"
"PI";"AGRICOLÂNDIA";"SOLIDARIEDADE";"3";"0,001"
"PI";"ÁGUA BRANCA";"AVANTE";"33";"0,011"
"PI";"ÁGUA BRANCA";"CIDADANIA";"87";"0,029"
"PI";"ÁGUA BRANCA";"DC";"29";"0,010"
"PI";"ÁGUA BRANCA";"DEM";"65";"0,021"
"PI";"ÁGUA BRANCA";"MDB";"179";"0,059"
"PI";"ÁGUA BRANCA";"NOVO";"1";"0,000"
"PI";"ÁGUA BRANCA";"PATRIOTA";"37";"0,012"
"PI";"ÁGUA BRANCA";"PCB";"6";"0,002"
"PI";"ÁGUA BRANCA";"PCDOB";"132";"0,043"
"PI";"ÁGUA BRANCA";"PDT";"109";"0,036"
"PI";"ÁGUA BRANCA";"PL";"68";"0,022"
"PI";"ÁGUA BRANCA";"PMB";"36";"0,012"
"PI";"ÁGUA BRANCA";"PMN";"29";"0,010"
"PI";"ÁGUA BRANCA";"PODE";"141";"0,046"
"PI";"ÁGUA BRANCA";"PP";"186";"0,061"
"PI";"ÁGUA BRANCA";"PROS";"2";"0,001"
"PI";"ÁGUA BRANCA";"PRTB";"18";"0,006"
"PI";"ÁGUA BRANCA";"PSB";"105";"0,034"
"PI";"ÁGUA BRANCA";"PSC";"11";"0,004"
"PI";"ÁGUA BRANCA";"PSD";"184";"0,060"
"PI";"ÁGUA BRANCA";"PSDB";"96";"0,031"
"PI";"ÁGUA BRANCA";"PSL";"41";"0,013"
"PI";"ÁGUA BRANCA";"PSOL";"46";"0,015"
"PI";"ÁGUA BRANCA";"PT";"87";"0,029"
"PI";"ÁGUA BRANCA";"PTB";"193";"0,063"
"PI";"ÁGUA BRANCA";"PTC";"56";"0,018"
"PI";"ÁGUA BRANCA";"PV";"46";"0,015"
"PI";"ÁGUA BRANCA";"REDE";"6";"0,002"
"PI";"ÁGUA BRANCA";"REPUBLICANOS";"57";"0,019"
"PI";"ÁGUA BRANCA";"SOLIDARIEDADE";"10";"0,003"
"PI";"ALAGOINHA DO PIAUÍ";"AVANTE";"2";"0,001"
"PI";"ALAGOINHA DO PIAUÍ";"CIDADANIA";"27";"0,009"
"PI";"ALAGOINHA DO PIAUÍ";"DEM";"49";"0,016"
"PI";"ALAGOINHA DO PIAUÍ";"MDB";"99";"0,032"
"PI";"ALAGOINHA DO PIAUÍ";"PATRIOTA";"61";"0,020"
"PI";"ALAGOINHA DO PIAUÍ";"PCDOB";"58";"0,019"
"PI";"ALAGOINHA DO PIAUÍ";"PDT";"32";"0,010"
"PI";"ALAGOINHA DO PIAUÍ";"PL";"46";"0,015"
"PI";"ALAGOINHA DO PIAUÍ";"PP";"143";"0,047"
"PI";"ALAGOINHA DO PIAUÍ";"PROS";"22";"0,007"
"PI";"ALAGOINHA DO PIAUÍ";"PRTB";"24";"0,008"
"PI";"ALAGOINHA DO PIAUÍ";"PSB";"57";"0,019"
"PI";"ALAGOINHA DO PIAUÍ";"PSC";"4";"0,001"
"PI";"ALAGOINHA DO PIAUÍ";"PSD";"35";"0,011"
"PI";"ALAGOINHA DO PIAUÍ";"PSDB";"10";"0,003"
"PI";"ALAGOINHA DO PIAUÍ";"PSOL";"1";"0,000"
"PI";"ALAGOINHA DO PIAUÍ";"PT";"72";"0,024"
