"UF";"Abrangência";"Partido";"Eleitores";"%"
"PR";"ABATIÁ";"CIDADANIA";"11";"0,001"
"PR";"ABATIÁ";"DEM";"68";"0,007"
"PR";"ABATIÁ";"MDB";"68";"0,007"
"PR";"ABATIÁ";"PATRIOTA";"9";"0,001"
"PR";"ABATIÁ";"PDT";"41";"0,004"
"PR";"ABATIÁ";"PL";"9";"0,001"
"PR";"ABATIÁ";"PODE";"121";"0,013"
"PR";"ABATIÁ";"PP";"111";"0,011"
"PR";"ABATIÁ";"PROS";"52";"0,005"
"PR";"ABATIÁ";"PRTB";"1";"0,000"
"PR";"ABATIÁ";"PSB";"14";"0,001"
"PR";"ABATIÁ";"PSC";"7";"0,001"
"PR";"ABATIÁ";"PSD";"48";"0,005"
"PR";"ABATIÁ";"PSDB";"36";"0,004"
"PR";"ABATIÁ";"PSL";"10";"0,001"
"PR";"ABATIÁ";"PSOL";"1";"0,000"
"PR";"ABATIÁ";"PT";"36";"0,004"
"PR";"ABATIÁ";"PTB";"96";"0,010"
"PR";"ABATIÁ";"PV";"3";"0,000"
"PR";"ABATIÁ";"REPUBLICANOS";"13";"0,001"
"PR";"ABATIÁ";"SOLIDARIEDADE";"5";"0,001"
"PR";"ADRIANÓPOLIS";"CIDADANIA";"52";"0,005"
"PR";"ADRIANÓPOLIS";"DC";"1";"0,000"
"PR";"ADRIANÓPOLIS";"DEM";"12";"0,001"
"PR";"ADRIANÓPOLIS";"MDB";"96";"0,010"
"PR";"ADRIANÓPOLIS";"NOVO";"2";"0,000"
"PR";"ADRIANÓPOLIS";"PATRIOTA";"38";"0,004"
"PR";"ADRIANÓPOLIS";"PCDOB";"1";"0,000"
"PR";"ADRIANÓPOLIS";"PDT";"35";"0,004"
"PR";"ADRIANÓPOLIS";"PL";"52";"0,005"
"PR";"ADRIANÓPOLIS";"PMN";"2";"0,000"
"PR";"ADRIANÓPOLIS";"PP";"102";"0,011"
"PR";"ADRIANÓPOLIS";"PRTB";"23";"0,002"
"PR";"ADRIANÓPOLIS";"PSB";"7";"0,001"
"PR";"ADRIANÓPOLIS";"PSC";"72";"0,007"
"PR";"ADRIANÓPOLIS";"PSD";"84";"0,009"
"PR";"ADRIANÓPOLIS";"PSDB";"99";"0,010"
"PR";"ADRIANÓPOLIS";"PSL";"115";"0,012"
"PR";"ADRIANÓPOLIS";"PT";"66";"0,007"
"PR";"ADRIANÓPOLIS";"PTB";"45";"0,005"
"PR";"ADRIANÓPOLIS";"PTC";"6";"0,001"
"PR";"ADRIANÓPOLIS";"PV";"2";"0,000"
"PR";"ADRIANÓPOLIS";"REPUBLICANOS";"16";"0,002"
"PR";"ADRIANÓPOLIS";"SOLIDARIEDADE";"249";"0,026"
"PR";"AGUDOS DO SUL";"AVANTE";"1";"0,000"
"PR";"AGUDOS DO SUL";"CIDADANIA";"5";"0,001"
"PR";"AGUDOS DO SUL";"DC";"3";"0,000"
"PR";"AGUDOS DO SUL";"DEM";"191";"0,020"
"PR";"AGUDOS DO SUL";"MDB";"288";"0,030"
"PR";"AGUDOS DO SUL";"PATRIOTA";"13";"0,001"
"PR";"AGUDOS DO SUL";"PCDOB";"1";"0,000"
"PR";"AGUDOS DO SUL";"PDT";"158";"0,016"
"PR";"AGUDOS DO SUL";"PL";"30";"0,003"
"PR";"AGUDOS DO SUL";"PMN";"9";"0,001"
"PR";"AGUDOS DO SUL";"PODE";"13";"0,001"
"PR";"AGUDOS DO SUL";"PP";"144";"0,015"
"PR";"AGUDOS DO SUL";"PROS";"51";"0,005"
"PR";"AGUDOS DO SUL";"PRTB";"5";"0,001"
"PR";"AGUDOS DO SUL";"PSB";"69";"0,007"
"PR";"AGUDOS DO SUL";"PSC";"66";"0,007"
"PR";"AGUDOS DO SUL";"PSD";"59";"0,006"
"PR";"AGUDOS DO SUL";"PSDB";"86";"0,009"
"PR";"AGUDOS DO SUL";"PSL";"28";"0,003"
"PR";"AGUDOS DO SUL";"PSOL";"3";"0,000"
"PR";"AGUDOS DO SUL";"PT";"106";"0,011"
"PR";"AGUDOS DO SUL";"PTB";"47";"0,005"
"PR";"AGUDOS DO SUL";"PTC";"6";"0,001"
"PR";"AGUDOS DO SUL";"PV";"5";"0,001"
"PR";"AGUDOS DO SUL";"REPUBLICANOS";"12";"0,001"
"PR";"AGUDOS DO SUL";"SOLIDARIEDADE";"21";"0,002"
"PR";"ALMIRANTE TAMANDARÉ";"AVANTE";"169";"0,018"
"PR";"ALMIRANTE TAMANDARÉ";"CIDADANIA";"71";"0,007"
"PR";"ALMIRANTE TAMANDARÉ";"DC";"174";"0,018"
"PR";"ALMIRANTE TAMANDARÉ";"DEM";"471";"0,049"
