"UF";"Abrangência";"Partido";"Eleitores";"%"
"RJ";"ANGRA DOS REIS";"AVANTE";"394";"0,038"
"RJ";"ANGRA DOS REIS";"CIDADANIA";"168";"0,016"
"RJ";"ANGRA DOS REIS";"DC";"407";"0,039"
"RJ";"ANGRA DOS REIS";"DEM";"530";"0,051"
"RJ";"ANGRA DOS REIS";"MDB";"1279";"0,124"
"RJ";"ANGRA DOS REIS";"NOVO";"16";"0,002"
"RJ";"ANGRA DOS REIS";"PATRIOTA";"171";"0,017"
"RJ";"ANGRA DOS REIS";"PCB";"1";"0,000"
"RJ";"ANGRA DOS REIS";"PCDOB";"814";"0,079"
"RJ";"ANGRA DOS REIS";"PCO";"1";"0,000"
"RJ";"ANGRA DOS REIS";"PDT";"720";"0,070"
"RJ";"ANGRA DOS REIS";"PL";"521";"0,051"
"RJ";"ANGRA DOS REIS";"PMB";"44";"0,004"
"RJ";"ANGRA DOS REIS";"PMN";"259";"0,025"
"RJ";"ANGRA DOS REIS";"PODE";"417";"0,040"
"RJ";"ANGRA DOS REIS";"PP";"988";"0,096"
"RJ";"ANGRA DOS REIS";"PROS";"74";"0,007"
"RJ";"ANGRA DOS REIS";"PRTB";"270";"0,026"
"RJ";"ANGRA DOS REIS";"PSB";"280";"0,027"
"RJ";"ANGRA DOS REIS";"PSC";"653";"0,063"
"RJ";"ANGRA DOS REIS";"PSD";"112";"0,011"
"RJ";"ANGRA DOS REIS";"PSDB";"878";"0,085"
"RJ";"ANGRA DOS REIS";"PSL";"40";"0,004"
"RJ";"ANGRA DOS REIS";"PSOL";"257";"0,025"
"RJ";"ANGRA DOS REIS";"PSTU";"4";"0,000"
"RJ";"ANGRA DOS REIS";"PT";"1338";"0,130"
"RJ";"ANGRA DOS REIS";"PTB";"439";"0,043"
"RJ";"ANGRA DOS REIS";"PTC";"516";"0,050"
"RJ";"ANGRA DOS REIS";"PV";"196";"0,019"
"RJ";"ANGRA DOS REIS";"REDE";"21";"0,002"
"RJ";"ANGRA DOS REIS";"REPUBLICANOS";"431";"0,042"
"RJ";"ANGRA DOS REIS";"SOLIDARIEDADE";"200";"0,019"
"RJ";"ANGRA DOS REIS";"UP";"1";"0,000"
"RJ";"APERIBÉ";"AVANTE";"62";"0,006"
"RJ";"APERIBÉ";"CIDADANIA";"47";"0,005"
"RJ";"APERIBÉ";"DC";"31";"0,003"
"RJ";"APERIBÉ";"DEM";"89";"0,009"
"RJ";"APERIBÉ";"MDB";"161";"0,016"
"RJ";"APERIBÉ";"PATRIOTA";"6";"0,001"
"RJ";"APERIBÉ";"PCDOB";"39";"0,004"
"RJ";"APERIBÉ";"PDT";"84";"0,008"
"RJ";"APERIBÉ";"PL";"137";"0,013"
"RJ";"APERIBÉ";"PMB";"2";"0,000"
"RJ";"APERIBÉ";"PODE";"23";"0,002"
"RJ";"APERIBÉ";"PP";"92";"0,009"
"RJ";"APERIBÉ";"PROS";"44";"0,004"
"RJ";"APERIBÉ";"PRTB";"9";"0,001"
"RJ";"APERIBÉ";"PSB";"45";"0,004"
"RJ";"APERIBÉ";"PSC";"68";"0,007"
"RJ";"APERIBÉ";"PSD";"43";"0,004"
"RJ";"APERIBÉ";"PSDB";"138";"0,013"
"RJ";"APERIBÉ";"PSL";"19";"0,002"
"RJ";"APERIBÉ";"PSOL";"7";"0,001"
"RJ";"APERIBÉ";"PSTU";"22";"0,002"
"RJ";"APERIBÉ";"PT";"99";"0,010"
"RJ";"APERIBÉ";"PTB";"65";"0,006"
"RJ";"APERIBÉ";"PTC";"2";"0,000"
"RJ";"APERIBÉ";"PV";"26";"0,003"
"RJ";"APERIBÉ";"REPUBLICANOS";"7";"0,001"
"RJ";"APERIBÉ";"SOLIDARIEDADE";"75";"0,007"
"RJ";"ARARUAMA";"AVANTE";"479";"0,046"
"RJ";"ARARUAMA";"CIDADANIA";"135";"0,013"
"RJ";"ARARUAMA";"DC";"412";"0,040"
"RJ";"ARARUAMA";"DEM";"351";"0,034"
"RJ";"ARARUAMA";"MDB";"729";"0,071"
"RJ";"ARARUAMA";"NOVO";"6";"0,001"
"RJ";"ARARUAMA";"PATRIOTA";"594";"0,058"
"RJ";"ARARUAMA";"PCB";"1";"0,000"
"RJ";"ARARUAMA";"PCDOB";"437";"0,042"
"RJ";"ARARUAMA";"PCO";"1";"0,000"
"RJ";"ARARUAMA";"PDT";"1987";"0,193"
"RJ";"ARARUAMA";"PL";"1930";"0,187"
"RJ";"ARARUAMA";"PMB";"52";"0,005"
"RJ";"ARARUAMA";"PMN";"265";"0,026"
"RJ";"ARARUAMA";"PODE";"317";"0,031"
"RJ";"ARARUAMA";"PP";"725";"0,070"
"RJ";"ARARUAMA";"PROS";"198";"0,019"
"RJ";"ARARUAMA";"PRTB";"135";"0,013"
"RJ";"ARARUAMA";"PSB";"118";"0,011"
"RJ";"ARARUAMA";"PSC";"328";"0,032"
"RJ";"ARARUAMA";"PSD";"127";"0,012"
"RJ";"ARARUAMA";"PSDB";"479";"0,046"
"RJ";"ARARUAMA";"PSL";"69";"0,007"
"RJ";"ARARUAMA";"PSOL";"227";"0,022"
"RJ";"ARARUAMA";"PSTU";"20";"0,002"
"RJ";"ARARUAMA";"PT";"462";"0,045"
"RJ";"ARARUAMA";"PTB";"716";"0,069"
"RJ";"ARARUAMA";"PTC";"64";"0,006"
"RJ";"ARARUAMA";"PV";"346";"0,034"
"RJ";"ARARUAMA";"REDE";"37";"0,004"
"RJ";"ARARUAMA";"REPUBLICANOS";"258";"0,025"
"RJ";"ARARUAMA";"SOLIDARIEDADE";"109";"0,011"
"RJ";"ARARUAMA";"UP";"3";"0,000"
"RJ";"AREAL";"AVANTE";"45";"0,004"
"RJ";"AREAL";"CIDADANIA";"76";"0,007"
"RJ";"AREAL";"DC";"20";"0,002"
"RJ";"AREAL";"DEM";"64";"0,006"
"RJ";"AREAL";"MDB";"86";"0,008"
"RJ";"AREAL";"NOVO";"1";"0,000"
"RJ";"AREAL";"PATRIOTA";"32";"0,003"
"RJ";"AREAL";"PCDOB";"22";"0,002"
"RJ";"AREAL";"PDT";"137";"0,013"
"RJ";"AREAL";"PL";"251";"0,024"
"RJ";"AREAL";"PMB";"15";"0,001"
"RJ";"AREAL";"PMN";"20";"0,002"
"RJ";"AREAL";"PODE";"183";"0,018"
"RJ";"AREAL";"PP";"140";"0,014"
"RJ";"AREAL";"PROS";"40";"0,004"
"RJ";"AREAL";"PRTB";"6";"0,001"
"RJ";"AREAL";"PSB";"51";"0,005"
"RJ";"AREAL";"PSC";"35";"0,003"
"RJ";"AREAL";"PSD";"7";"0,001"
"RJ";"AREAL";"PSDB";"80";"0,008"
"RJ";"AREAL";"PSL";"7";"0,001"
"RJ";"AREAL";"PSOL";"10";"0,001"
"RJ";"AREAL";"PSTU";"38";"0,004"
"RJ";"AREAL";"PT";"94";"0,009"
"RJ";"AREAL";"PTB";"147";"0,014"
"RJ";"AREAL";"PTC";"13";"0,001"
"RJ";"AREAL";"PV";"25";"0,002"
"RJ";"AREAL";"REDE";"38";"0,004"
"RJ";"AREAL";"REPUBLICANOS";"35";"0,003"
"RJ";"AREAL";"SOLIDARIEDADE";"46";"0,004"
"RJ";"ARMAÇÃO DOS BÚZIOS";"AVANTE";"53";"0,005"
"RJ";"ARMAÇÃO DOS BÚZIOS";"CIDADANIA";"83";"0,008"
"RJ";"ARMAÇÃO DOS BÚZIOS";"DC";"68";"0,007"
"RJ";"ARMAÇÃO DOS BÚZIOS";"DEM";"137";"0,013"
"RJ";"ARMAÇÃO DOS BÚZIOS";"MDB";"192";"0,019"
"RJ";"ARMAÇÃO DOS BÚZIOS";"NOVO";"4";"0,000"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PATRIOTA";"67";"0,006"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PCB";"1";"0,000"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PCDOB";"87";"0,008"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PDT";"405";"0,039"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PL";"236";"0,023"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PMB";"36";"0,003"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PMN";"58";"0,006"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PODE";"186";"0,018"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PP";"329";"0,032"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PROS";"45";"0,004"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PRTB";"68";"0,007"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PSB";"122";"0,012"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PSC";"89";"0,009"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PSD";"33";"0,003"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PSDB";"203";"0,020"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PSL";"22";"0,002"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PSOL";"55";"0,005"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PSTU";"6";"0,001"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PT";"130";"0,013"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PTB";"223";"0,022"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PTC";"32";"0,003"
"RJ";"ARMAÇÃO DOS BÚZIOS";"PV";"108";"0,010"
"RJ";"ARMAÇÃO DOS BÚZIOS";"REDE";"23";"0,002"
"RJ";"ARMAÇÃO DOS BÚZIOS";"REPUBLICANOS";"88";"0,009"
"RJ";"ARMAÇÃO DOS BÚZIOS";"SOLIDARIEDADE";"84";"0,008"
"RJ";"ARMAÇÃO DOS BÚZIOS";"UP";"5";"0,000"
"RJ";"ARRAIAL DO CABO";"AVANTE";"129";"0,013"
"RJ";"ARRAIAL DO CABO";"CIDADANIA";"70";"0,007"
"RJ";"ARRAIAL DO CABO";"DC";"104";"0,010"
"RJ";"ARRAIAL DO CABO";"DEM";"241";"0,023"
"RJ";"ARRAIAL DO CABO";"MDB";"179";"0,017"
"RJ";"ARRAIAL DO CABO";"NOVO";"2";"0,000"
"RJ";"ARRAIAL DO CABO";"PATRIOTA";"143";"0,014"
"RJ";"ARRAIAL DO CABO";"PCDOB";"126";"0,012"
"RJ";"ARRAIAL DO CABO";"PCO";"3";"0,000"
"RJ";"ARRAIAL DO CABO";"PDT";"1084";"0,105"
"RJ";"ARRAIAL DO CABO";"PL";"152";"0,015"
"RJ";"ARRAIAL DO CABO";"PMB";"31";"0,003"
"RJ";"ARRAIAL DO CABO";"PMN";"29";"0,003"
"RJ";"ARRAIAL DO CABO";"PODE";"119";"0,012"
"RJ";"ARRAIAL DO CABO";"PP";"616";"0,060"
"RJ";"ARRAIAL DO CABO";"PROS";"111";"0,011"
"RJ";"ARRAIAL DO CABO";"PRTB";"60";"0,006"
"RJ";"ARRAIAL DO CABO";"PSB";"130";"0,013"
"RJ";"ARRAIAL DO CABO";"PSC";"150";"0,015"
"RJ";"ARRAIAL DO CABO";"PSD";"30";"0,003"
"RJ";"ARRAIAL DO CABO";"PSDB";"295";"0,029"
"RJ";"ARRAIAL DO CABO";"PSL";"35";"0,003"
"RJ";"ARRAIAL DO CABO";"PSOL";"98";"0,010"
"RJ";"ARRAIAL DO CABO";"PSTU";"2";"0,000"
"RJ";"ARRAIAL DO CABO";"PT";"319";"0,031"
"RJ";"ARRAIAL DO CABO";"PTB";"301";"0,029"
"RJ";"ARRAIAL DO CABO";"PTC";"95";"0,009"
"RJ";"ARRAIAL DO CABO";"PV";"96";"0,009"
"RJ";"ARRAIAL DO CABO";"REDE";"17";"0,002"
"RJ";"ARRAIAL DO CABO";"REPUBLICANOS";"87";"0,008"
"RJ";"ARRAIAL DO CABO";"SOLIDARIEDADE";"48";"0,005"
"RJ";"ARRAIAL DO CABO";"UP";"2";"0,000"
"RJ";"BARRA DO PIRAÍ";"AVANTE";"349";"0,034"
"RJ";"BARRA DO PIRAÍ";"CIDADANIA";"228";"0,022"
"RJ";"BARRA DO PIRAÍ";"DC";"158";"0,015"
"RJ";"BARRA DO PIRAÍ";"DEM";"299";"0,029"
"RJ";"BARRA DO PIRAÍ";"MDB";"701";"0,068"
"RJ";"BARRA DO PIRAÍ";"NOVO";"5";"0,000"
"RJ";"BARRA DO PIRAÍ";"PATRIOTA";"271";"0,026"
"RJ";"BARRA DO PIRAÍ";"PCB";"1";"0,000"
"RJ";"BARRA DO PIRAÍ";"PCDOB";"82";"0,008"
"RJ";"BARRA DO PIRAÍ";"PCO";"1";"0,000"
"RJ";"BARRA DO PIRAÍ";"PDT";"505";"0,049"
"RJ";"BARRA DO PIRAÍ";"PL";"436";"0,042"
"RJ";"BARRA DO PIRAÍ";"PMB";"37";"0,004"
"RJ";"BARRA DO PIRAÍ";"PMN";"300";"0,029"
"RJ";"BARRA DO PIRAÍ";"PODE";"243";"0,024"
"RJ";"BARRA DO PIRAÍ";"PP";"1348";"0,131"
"RJ";"BARRA DO PIRAÍ";"PROS";"14";"0,001"
"RJ";"BARRA DO PIRAÍ";"PRTB";"67";"0,006"
"RJ";"BARRA DO PIRAÍ";"PSB";"313";"0,030"
"RJ";"BARRA DO PIRAÍ";"PSC";"316";"0,031"
"RJ";"BARRA DO PIRAÍ";"PSD";"36";"0,003"
"RJ";"BARRA DO PIRAÍ";"PSDB";"467";"0,045"
"RJ";"BARRA DO PIRAÍ";"PSL";"41";"0,004"
"RJ";"BARRA DO PIRAÍ";"PSOL";"79";"0,008"
"RJ";"BARRA DO PIRAÍ";"PSTU";"2";"0,000"
"RJ";"BARRA DO PIRAÍ";"PT";"525";"0,051"
"RJ";"BARRA DO PIRAÍ";"PTB";"373";"0,036"
"RJ";"BARRA DO PIRAÍ";"PTC";"226";"0,022"
"RJ";"BARRA DO PIRAÍ";"PV";"393";"0,038"
"RJ";"BARRA DO PIRAÍ";"REDE";"8";"0,001"
"RJ";"BARRA DO PIRAÍ";"REPUBLICANOS";"245";"0,024"
"RJ";"BARRA DO PIRAÍ";"SOLIDARIEDADE";"16";"0,002"
"RJ";"BARRA MANSA";"AVANTE";"340";"0,033"
"RJ";"BARRA MANSA";"CIDADANIA";"481";"0,047"
"RJ";"BARRA MANSA";"DC";"547";"0,053"
"RJ";"BARRA MANSA";"DEM";"615";"0,060"
"RJ";"BARRA MANSA";"MDB";"1123";"0,109"
"RJ";"BARRA MANSA";"NOVO";"10";"0,001"
"RJ";"BARRA MANSA";"PATRIOTA";"418";"0,041"
"RJ";"BARRA MANSA";"PCB";"152";"0,015"
"RJ";"BARRA MANSA";"PCDOB";"407";"0,039"
"RJ";"BARRA MANSA";"PCO";"5";"0,000"
"RJ";"BARRA MANSA";"PDT";"1552";"0,151"
"RJ";"BARRA MANSA";"PL";"1008";"0,098"
"RJ";"BARRA MANSA";"PMB";"158";"0,015"
