"UF";"Abrangência";"Partido";"Eleitores";"%"
"RN";"ACARI";"AVANTE";"4";"0,002"
"RN";"ACARI";"CIDADANIA";"26";"0,010"
"RN";"ACARI";"DEM";"63";"0,024"
"RN";"ACARI";"MDB";"269";"0,102"
"RN";"ACARI";"PATRIOTA";"13";"0,005"
"RN";"ACARI";"PCDOB";"16";"0,006"
"RN";"ACARI";"PDT";"3";"0,001"
"RN";"ACARI";"PL";"110";"0,042"
"RN";"ACARI";"PMN";"2";"0,001"
"RN";"ACARI";"PP";"1";"0,000"
"RN";"ACARI";"PROS";"6";"0,002"
"RN";"ACARI";"PRTB";"1";"0,000"
"RN";"ACARI";"PSB";"104";"0,039"
"RN";"ACARI";"PSD";"52";"0,020"
"RN";"ACARI";"PSDB";"43";"0,016"
"RN";"ACARI";"PT";"59";"0,022"
"RN";"ACARI";"PTB";"14";"0,005"
"RN";"ACARI";"PTC";"1";"0,000"
"RN";"ACARI";"REDE";"2";"0,001"
"RN";"ACARI";"REPUBLICANOS";"19";"0,007"
"RN";"ACARI";"SOLIDARIEDADE";"58";"0,022"
"RN";"AFONSO BEZERRA";"CIDADANIA";"49";"0,018"
"RN";"AFONSO BEZERRA";"DC";"15";"0,006"
"RN";"AFONSO BEZERRA";"DEM";"248";"0,094"
"RN";"AFONSO BEZERRA";"MDB";"344";"0,130"
"RN";"AFONSO BEZERRA";"PATRIOTA";"102";"0,039"
"RN";"AFONSO BEZERRA";"PCDOB";"3";"0,001"
"RN";"AFONSO BEZERRA";"PDT";"38";"0,014"
"RN";"AFONSO BEZERRA";"PL";"131";"0,049"
"RN";"AFONSO BEZERRA";"PMN";"66";"0,025"
"RN";"AFONSO BEZERRA";"PODE";"42";"0,016"
"RN";"AFONSO BEZERRA";"PP";"94";"0,035"
"RN";"AFONSO BEZERRA";"PROS";"11";"0,004"
"RN";"AFONSO BEZERRA";"PRTB";"6";"0,002"
"RN";"AFONSO BEZERRA";"PSB";"24";"0,009"
"RN";"AFONSO BEZERRA";"PSC";"15";"0,006"
"RN";"AFONSO BEZERRA";"PSD";"65";"0,025"
"RN";"AFONSO BEZERRA";"PSDB";"203";"0,077"
"RN";"AFONSO BEZERRA";"PSL";"1";"0,000"
"RN";"AFONSO BEZERRA";"PSOL";"10";"0,004"
"RN";"AFONSO BEZERRA";"PSTU";"1";"0,000"
"RN";"AFONSO BEZERRA";"PT";"27";"0,010"
"RN";"AFONSO BEZERRA";"PTB";"38";"0,014"
"RN";"AFONSO BEZERRA";"PV";"46";"0,017"
"RN";"AFONSO BEZERRA";"REPUBLICANOS";"6";"0,002"
"RN";"AFONSO BEZERRA";"SOLIDARIEDADE";"18";"0,007"
"RN";"ÁGUA NOVA";"CIDADANIA";"6";"0,002"
"RN";"ÁGUA NOVA";"DEM";"96";"0,036"
"RN";"ÁGUA NOVA";"MDB";"179";"0,068"
"RN";"ÁGUA NOVA";"PCDOB";"1";"0,000"
"RN";"ÁGUA NOVA";"PL";"55";"0,021"
"RN";"ÁGUA NOVA";"PMN";"24";"0,009"
"RN";"ÁGUA NOVA";"PODE";"30";"0,011"
"RN";"ÁGUA NOVA";"PP";"65";"0,025"
"RN";"ÁGUA NOVA";"PSB";"17";"0,006"
"RN";"ÁGUA NOVA";"PSC";"11";"0,004"
"RN";"ÁGUA NOVA";"PSDB";"1";"0,000"
"RN";"ÁGUA NOVA";"PT";"31";"0,012"
"RN";"ÁGUA NOVA";"PTB";"37";"0,014"
"RN";"ÁGUA NOVA";"REPUBLICANOS";"8";"0,003"
"RN";"ÁGUA NOVA";"SOLIDARIEDADE";"12";"0,005"
"RN";"ALEXANDRIA";"AVANTE";"8";"0,003"
"RN";"ALEXANDRIA";"CIDADANIA";"9";"0,003"
"RN";"ALEXANDRIA";"DC";"13";"0,005"
"RN";"ALEXANDRIA";"DEM";"77";"0,029"
"RN";"ALEXANDRIA";"MDB";"95";"0,036"
"RN";"ALEXANDRIA";"PCDOB";"42";"0,016"
"RN";"ALEXANDRIA";"PCO";"1";"0,000"
"RN";"ALEXANDRIA";"PDT";"72";"0,027"
"RN";"ALEXANDRIA";"PL";"79";"0,030"
"RN";"ALEXANDRIA";"PMB";"4";"0,002"
"RN";"ALEXANDRIA";"PMN";"87";"0,033"
"RN";"ALEXANDRIA";"PODE";"21";"0,008"
"RN";"ALEXANDRIA";"PP";"146";"0,055"
"RN";"ALEXANDRIA";"PROS";"5";"0,002"
"RN";"ALEXANDRIA";"PSB";"59";"0,022"
"RN";"ALEXANDRIA";"PSC";"41";"0,015"
"RN";"ALEXANDRIA";"PSD";"27";"0,010"
"RN";"ALEXANDRIA";"PSDB";"138";"0,052"
"RN";"ALEXANDRIA";"PSOL";"2";"0,001"
"RN";"ALEXANDRIA";"PSTU";"1";"0,000"
"RN";"ALEXANDRIA";"PT";"62";"0,023"
"RN";"ALEXANDRIA";"PTB";"48";"0,018"
"RN";"ALEXANDRIA";"PV";"9";"0,003"
"RN";"ALEXANDRIA";"REPUBLICANOS";"84";"0,032"
"RN";"ALEXANDRIA";"SOLIDARIEDADE";"35";"0,013"
"RN";"ALMINO AFONSO";"AVANTE";"3";"0,001"
"RN";"ALMINO AFONSO";"CIDADANIA";"27";"0,010"
"RN";"ALMINO AFONSO";"DC";"1";"0,000"
"RN";"ALMINO AFONSO";"DEM";"44";"0,017"
"RN";"ALMINO AFONSO";"MDB";"184";"0,069"
"RN";"ALMINO AFONSO";"PCDOB";"30";"0,011"
"RN";"ALMINO AFONSO";"PDT";"6";"0,002"
"RN";"ALMINO AFONSO";"PL";"37";"0,014"
"RN";"ALMINO AFONSO";"PMN";"2";"0,001"
"RN";"ALMINO AFONSO";"PODE";"17";"0,006"
"RN";"ALMINO AFONSO";"PP";"96";"0,036"
"RN";"ALMINO AFONSO";"PRTB";"1";"0,000"
"RN";"ALMINO AFONSO";"PSB";"97";"0,037"
"RN";"ALMINO AFONSO";"PSC";"48";"0,018"
"RN";"ALMINO AFONSO";"PSD";"42";"0,016"
"RN";"ALMINO AFONSO";"PSDB";"142";"0,054"
"RN";"ALMINO AFONSO";"PSOL";"16";"0,006"
"RN";"ALMINO AFONSO";"PT";"44";"0,017"
"RN";"ALMINO AFONSO";"PTB";"27";"0,010"
"RN";"ALMINO AFONSO";"PV";"1";"0,000"
"RN";"ALMINO AFONSO";"REPUBLICANOS";"96";"0,036"
"RN";"ALMINO AFONSO";"SOLIDARIEDADE";"1";"0,000"
"RN";"ALTO DO RODRIGUES";"AVANTE";"1";"0,000"
"RN";"ALTO DO RODRIGUES";"CIDADANIA";"23";"0,009"
"RN";"ALTO DO RODRIGUES";"DC";"3";"0,001"
"RN";"ALTO DO RODRIGUES";"DEM";"362";"0,137"
"RN";"ALTO DO RODRIGUES";"MDB";"174";"0,066"
"RN";"ALTO DO RODRIGUES";"NOVO";"1";"0,000"
"RN";"ALTO DO RODRIGUES";"PATRIOTA";"28";"0,011"
"RN";"ALTO DO RODRIGUES";"PCDOB";"58";"0,022"
"RN";"ALTO DO RODRIGUES";"PDT";"41";"0,015"
"RN";"ALTO DO RODRIGUES";"PL";"74";"0,028"
"RN";"ALTO DO RODRIGUES";"PMB";"4";"0,002"
"RN";"ALTO DO RODRIGUES";"PMN";"44";"0,017"
"RN";"ALTO DO RODRIGUES";"PODE";"14";"0,005"
"RN";"ALTO DO RODRIGUES";"PP";"82";"0,031"
"RN";"ALTO DO RODRIGUES";"PROS";"17";"0,006"
"RN";"ALTO DO RODRIGUES";"PSB";"10";"0,004"
"RN";"ALTO DO RODRIGUES";"PSC";"18";"0,007"
"RN";"ALTO DO RODRIGUES";"PSD";"54";"0,020"
"RN";"ALTO DO RODRIGUES";"PSDB";"88";"0,033"
"RN";"ALTO DO RODRIGUES";"PSOL";"3";"0,001"
"RN";"ALTO DO RODRIGUES";"PT";"70";"0,026"
"RN";"ALTO DO RODRIGUES";"PTB";"6";"0,002"
"RN";"ALTO DO RODRIGUES";"PTC";"3";"0,001"
"RN";"ALTO DO RODRIGUES";"PV";"26";"0,010"
"RN";"ALTO DO RODRIGUES";"REPUBLICANOS";"57";"0,022"
"RN";"ALTO DO RODRIGUES";"SOLIDARIEDADE";"105";"0,040"
"RN";"ANGICOS";"CIDADANIA";"25";"0,009"
"RN";"ANGICOS";"DC";"7";"0,003"
"RN";"ANGICOS";"DEM";"109";"0,041"
"RN";"ANGICOS";"MDB";"168";"0,063"
"RN";"ANGICOS";"PATRIOTA";"5";"0,002"
"RN";"ANGICOS";"PCDOB";"27";"0,010"
"RN";"ANGICOS";"PDT";"20";"0,008"
"RN";"ANGICOS";"PL";"84";"0,032"
"RN";"ANGICOS";"PMN";"50";"0,019"
"RN";"ANGICOS";"PODE";"28";"0,011"
"RN";"ANGICOS";"PP";"51";"0,019"
"RN";"ANGICOS";"PRTB";"2";"0,001"
"RN";"ANGICOS";"PSB";"75";"0,028"
"RN";"ANGICOS";"PSC";"5";"0,002"
"RN";"ANGICOS";"PSD";"52";"0,020"
"RN";"ANGICOS";"PSDB";"108";"0,041"
"RN";"ANGICOS";"PSL";"2";"0,001"
"RN";"ANGICOS";"PSOL";"49";"0,018"
"RN";"ANGICOS";"PT";"69";"0,026"
"RN";"ANGICOS";"PTB";"71";"0,027"
"RN";"ANGICOS";"PV";"59";"0,022"
"RN";"ANGICOS";"REPUBLICANOS";"51";"0,019"
"RN";"ANGICOS";"SOLIDARIEDADE";"44";"0,017"
"RN";"ANTÔNIO MARTINS";"CIDADANIA";"23";"0,009"
"RN";"ANTÔNIO MARTINS";"DEM";"89";"0,034"
