"UF";"Abrangência";"Partido";"Eleitores";"%"
"RO";"ALTA FLORESTA D'OESTE";"AVANTE";"32";"0,020"
"RO";"ALTA FLORESTA D'OESTE";"CIDADANIA";"27";"0,017"
"RO";"ALTA FLORESTA D'OESTE";"DC";"167";"0,102"
"RO";"ALTA FLORESTA D'OESTE";"DEM";"203";"0,124"
"RO";"ALTA FLORESTA D'OESTE";"MDB";"228";"0,139"
"RO";"ALTA FLORESTA D'OESTE";"NOVO";"2";"0,001"
"RO";"ALTA FLORESTA D'OESTE";"PATRIOTA";"39";"0,024"
"RO";"ALTA FLORESTA D'OESTE";"PCDOB";"140";"0,086"
"RO";"ALTA FLORESTA D'OESTE";"PDT";"118";"0,072"
"RO";"ALTA FLORESTA D'OESTE";"PL";"91";"0,056"
"RO";"ALTA FLORESTA D'OESTE";"PMN";"39";"0,024"
"RO";"ALTA FLORESTA D'OESTE";"PODE";"96";"0,059"
"RO";"ALTA FLORESTA D'OESTE";"PP";"169";"0,103"
"RO";"ALTA FLORESTA D'OESTE";"PROS";"4";"0,002"
"RO";"ALTA FLORESTA D'OESTE";"PRTB";"1";"0,001"
"RO";"ALTA FLORESTA D'OESTE";"PSB";"77";"0,047"
"RO";"ALTA FLORESTA D'OESTE";"PSC";"58";"0,035"
"RO";"ALTA FLORESTA D'OESTE";"PSD";"61";"0,037"
"RO";"ALTA FLORESTA D'OESTE";"PSDB";"229";"0,140"
"RO";"ALTA FLORESTA D'OESTE";"PSL";"2";"0,001"
"RO";"ALTA FLORESTA D'OESTE";"PSOL";"2";"0,001"
"RO";"ALTA FLORESTA D'OESTE";"PT";"193";"0,118"
"RO";"ALTA FLORESTA D'OESTE";"PTB";"135";"0,083"
"RO";"ALTA FLORESTA D'OESTE";"PTC";"8";"0,005"
"RO";"ALTA FLORESTA D'OESTE";"PV";"32";"0,020"
"RO";"ALTA FLORESTA D'OESTE";"REPUBLICANOS";"19";"0,012"
"RO";"ALTA FLORESTA D'OESTE";"SOLIDARIEDADE";"32";"0,020"
"RO";"ALTO ALEGRE DOS PARECIS";"CIDADANIA";"9";"0,006"
"RO";"ALTO ALEGRE DOS PARECIS";"DC";"50";"0,031"
"RO";"ALTO ALEGRE DOS PARECIS";"DEM";"140";"0,086"
"RO";"ALTO ALEGRE DOS PARECIS";"MDB";"169";"0,103"
"RO";"ALTO ALEGRE DOS PARECIS";"PATRIOTA";"26";"0,016"
"RO";"ALTO ALEGRE DOS PARECIS";"PCDOB";"8";"0,005"
"RO";"ALTO ALEGRE DOS PARECIS";"PDT";"128";"0,078"
"RO";"ALTO ALEGRE DOS PARECIS";"PL";"126";"0,077"
"RO";"ALTO ALEGRE DOS PARECIS";"PMN";"24";"0,015"
"RO";"ALTO ALEGRE DOS PARECIS";"PODE";"43";"0,026"
"RO";"ALTO ALEGRE DOS PARECIS";"PP";"140";"0,086"
"RO";"ALTO ALEGRE DOS PARECIS";"PSB";"83";"0,051"
"RO";"ALTO ALEGRE DOS PARECIS";"PSC";"4";"0,002"
"RO";"ALTO ALEGRE DOS PARECIS";"PSD";"19";"0,012"
"RO";"ALTO ALEGRE DOS PARECIS";"PSDB";"63";"0,039"
"RO";"ALTO ALEGRE DOS PARECIS";"PSL";"5";"0,003"
"RO";"ALTO ALEGRE DOS PARECIS";"PT";"117";"0,072"
"RO";"ALTO ALEGRE DOS PARECIS";"PTB";"71";"0,043"
"RO";"ALTO ALEGRE DOS PARECIS";"PTC";"3";"0,002"
"RO";"ALTO ALEGRE DOS PARECIS";"PV";"28";"0,017"
"RO";"ALTO ALEGRE DOS PARECIS";"REPUBLICANOS";"1";"0,001"
"RO";"ALTO ALEGRE DOS PARECIS";"SOLIDARIEDADE";"3";"0,002"
"RO";"ALTO PARAÍSO";"AVANTE";"6";"0,004"
"RO";"ALTO PARAÍSO";"CIDADANIA";"18";"0,011"
"RO";"ALTO PARAÍSO";"DC";"23";"0,014"
"RO";"ALTO PARAÍSO";"DEM";"119";"0,073"
"RO";"ALTO PARAÍSO";"MDB";"120";"0,073"
"RO";"ALTO PARAÍSO";"PATRIOTA";"10";"0,006"
"RO";"ALTO PARAÍSO";"PCB";"16";"0,010"
"RO";"ALTO PARAÍSO";"PCDOB";"4";"0,002"
"RO";"ALTO PARAÍSO";"PDT";"196";"0,120"
"RO";"ALTO PARAÍSO";"PL";"64";"0,039"
"RO";"ALTO PARAÍSO";"PMN";"35";"0,021"
"RO";"ALTO PARAÍSO";"PODE";"79";"0,048"
"RO";"ALTO PARAÍSO";"PP";"147";"0,090"
"RO";"ALTO PARAÍSO";"PROS";"1";"0,001"
