"UF";"Abrangência";"Partido";"Eleitores";"%"
"RS";"ACEGUÁ";"DEM";"62";"0,004"
"RS";"ACEGUÁ";"MDB";"238";"0,017"
"RS";"ACEGUÁ";"PDT";"35";"0,002"
"RS";"ACEGUÁ";"PP";"99";"0,007"
"RS";"ACEGUÁ";"PR";"2";"0,000"
"RS";"ACEGUÁ";"PSB";"31";"0,002"
"RS";"ACEGUÁ";"PSDB";"211";"0,015"
"RS";"ACEGUÁ";"PT";"203";"0,014"
"RS";"ACEGUÁ";"PTB";"70";"0,005"
"RS";"ÁGUA SANTA";"MDB";"611";"0,043"
"RS";"ÁGUA SANTA";"PDT";"87";"0,006"
"RS";"ÁGUA SANTA";"PP";"108";"0,008"
"RS";"ÁGUA SANTA";"PPS";"22";"0,002"
"RS";"ÁGUA SANTA";"PSDB";"110";"0,008"
"RS";"ÁGUA SANTA";"PT";"71";"0,005"
"RS";"ÁGUA SANTA";"PTB";"1";"0,000"
"RS";"AGUDO";"DEM";"151";"0,011"
"RS";"AGUDO";"MDB";"420";"0,030"
"RS";"AGUDO";"PDT";"167";"0,012"
"RS";"AGUDO";"PHS";"1";"0,000"
"RS";"AGUDO";"PP";"404";"0,028"
"RS";"AGUDO";"PPS";"11";"0,001"
"RS";"AGUDO";"PR";"11";"0,001"
"RS";"AGUDO";"PRB";"32";"0,002"
"RS";"AGUDO";"PRP";"1";"0,000"
"RS";"AGUDO";"PSB";"18";"0,001"
"RS";"AGUDO";"PSDB";"108";"0,008"
"RS";"AGUDO";"PT";"85";"0,006"
"RS";"AGUDO";"PTB";"63";"0,004"
"RS";"AJURICABA";"MDB";"220";"0,015"
"RS";"AJURICABA";"PC DO B";"25";"0,002"
"RS";"AJURICABA";"PDT";"160";"0,011"
"RS";"AJURICABA";"PP";"466";"0,033"
"RS";"AJURICABA";"PT";"339";"0,024"
"RS";"AJURICABA";"PTB";"283";"0,020"
"RS";"ALECRIM";"DEM";"1";"0,000"
"RS";"ALECRIM";"MDB";"535";"0,038"
"RS";"ALECRIM";"PC DO B";"1";"0,000"
"RS";"ALECRIM";"PDT";"173";"0,012"
"RS";"ALECRIM";"PP";"113";"0,008"
"RS";"ALECRIM";"PPS";"42";"0,003"
"RS";"ALECRIM";"PR";"1";"0,000"
"RS";"ALECRIM";"PSB";"30";"0,002"
"RS";"ALECRIM";"PSDB";"1";"0,000"
"RS";"ALECRIM";"PT";"117";"0,008"
"RS";"ALECRIM";"PTB";"47";"0,003"
"RS";"ALEGRETE";"AVANTE";"1";"0,000"
"RS";"ALEGRETE";"DEM";"284";"0,020"
"RS";"ALEGRETE";"MDB";"1553";"0,109"
"RS";"ALEGRETE";"NOVO";"4";"0,000"
"RS";"ALEGRETE";"PC DO B";"39";"0,003"
"RS";"ALEGRETE";"PCB";"10";"0,001"
"RS";"ALEGRETE";"PDT";"1526";"0,107"
"RS";"ALEGRETE";"PMN";"1";"0,000"
"RS";"ALEGRETE";"PP";"3904";"0,275"
"RS";"ALEGRETE";"PPL";"1";"0,000"
"RS";"ALEGRETE";"PPS";"268";"0,019"
"RS";"ALEGRETE";"PR";"88";"0,006"
"RS";"ALEGRETE";"PRB";"135";"0,010"
"RS";"ALEGRETE";"PRP";"2";"0,000"
"RS";"ALEGRETE";"PSB";"181";"0,013"
"RS";"ALEGRETE";"PSC";"65";"0,005"
"RS";"ALEGRETE";"PSD";"273";"0,019"
"RS";"ALEGRETE";"PSDB";"770";"0,054"
