"UF";"Abrangência";"Partido";"Eleitores";"%"
"SC";"ABDON BATISTA";"DEM";"16";"0,002"
"SC";"ABDON BATISTA";"MDB";"177";"0,020"
"SC";"ABDON BATISTA";"PP";"114";"0,013"
"SC";"ABDON BATISTA";"PR";"9";"0,001"
"SC";"ABDON BATISTA";"PSB";"11";"0,001"
"SC";"ABDON BATISTA";"PSD";"118";"0,013"
"SC";"ABDON BATISTA";"PSDB";"210";"0,024"
"SC";"ABDON BATISTA";"PSOL";"1";"0,000"
"SC";"ABDON BATISTA";"PT";"8";"0,001"
"SC";"ABELARDO LUZ";"AVANTE";"1";"0,000"
"SC";"ABELARDO LUZ";"DEM";"375";"0,042"
"SC";"ABELARDO LUZ";"MDB";"457";"0,052"
"SC";"ABELARDO LUZ";"PC DO B";"37";"0,004"
"SC";"ABELARDO LUZ";"PDT";"100";"0,011"
"SC";"ABELARDO LUZ";"PMN";"2";"0,000"
"SC";"ABELARDO LUZ";"PP";"509";"0,058"
"SC";"ABELARDO LUZ";"PPS";"25";"0,003"
"SC";"ABELARDO LUZ";"PR";"103";"0,012"
"SC";"ABELARDO LUZ";"PRB";"80";"0,009"
"SC";"ABELARDO LUZ";"PROS";"1";"0,000"
"SC";"ABELARDO LUZ";"PRP";"13";"0,001"
"SC";"ABELARDO LUZ";"PSB";"59";"0,007"
"SC";"ABELARDO LUZ";"PSC";"102";"0,012"
"SC";"ABELARDO LUZ";"PSD";"102";"0,012"
"SC";"ABELARDO LUZ";"PSDB";"136";"0,015"
"SC";"ABELARDO LUZ";"PSOL";"40";"0,005"
"SC";"ABELARDO LUZ";"PT";"364";"0,041"
"SC";"ABELARDO LUZ";"PTB";"104";"0,012"
"SC";"ABELARDO LUZ";"PTC";"24";"0,003"
"SC";"ABELARDO LUZ";"PV";"4";"0,000"
"SC";"ABELARDO LUZ";"REDE";"20";"0,002"
"SC";"AGROLÂNDIA";"AVANTE";"5";"0,001"
"SC";"AGROLÂNDIA";"DEM";"177";"0,020"
"SC";"AGROLÂNDIA";"MDB";"485";"0,055"
"SC";"AGROLÂNDIA";"PDT";"30";"0,003"
"SC";"AGROLÂNDIA";"PHS";"1";"0,000"
"SC";"AGROLÂNDIA";"PP";"158";"0,018"
"SC";"AGROLÂNDIA";"PPS";"98";"0,011"
"SC";"AGROLÂNDIA";"PR";"216";"0,024"
"SC";"AGROLÂNDIA";"PSC";"27";"0,003"
"SC";"AGROLÂNDIA";"PSD";"67";"0,008"
"SC";"AGROLÂNDIA";"PSDB";"797";"0,090"
"SC";"AGROLÂNDIA";"PT";"316";"0,036"
"SC";"AGROLÂNDIA";"PTB";"7";"0,001"
"SC";"AGROLÂNDIA";"PTC";"25";"0,003"
"SC";"AGRONÔMICA";"DEM";"70";"0,008"
"SC";"AGRONÔMICA";"MDB";"406";"0,046"
"SC";"AGRONÔMICA";"PDT";"2";"0,000"
"SC";"AGRONÔMICA";"PP";"199";"0,023"
"SC";"AGRONÔMICA";"PPS";"12";"0,001"
"SC";"AGRONÔMICA";"PR";"86";"0,010"
"SC";"AGRONÔMICA";"PSD";"50";"0,006"
"SC";"AGRONÔMICA";"PSDB";"104";"0,012"
"SC";"AGRONÔMICA";"PT";"54";"0,006"
"SC";"AGRONÔMICA";"PTB";"3";"0,000"
"SC";"AGRONÔMICA";"PTC";"22";"0,002"
"SC";"ÁGUA DOCE";"DEM";"134";"0,015"
"SC";"ÁGUA DOCE";"MDB";"260";"0,029"
"SC";"ÁGUA DOCE";"PHS";"1";"0,000"
"SC";"ÁGUA DOCE";"PP";"325";"0,037"
"SC";"ÁGUA DOCE";"PPS";"6";"0,001"
"SC";"ÁGUA DOCE";"PR";"225";"0,025"
