"UF";"Abrangência";"Partido";"Eleitores";"%"
"SE";"AMPARO DE SÃO FRANCISCO";"AVANTE";"9";"0,005"
"SE";"AMPARO DE SÃO FRANCISCO";"DC";"7";"0,004"
"SE";"AMPARO DE SÃO FRANCISCO";"DEM";"38";"0,022"
"SE";"AMPARO DE SÃO FRANCISCO";"MDB";"77";"0,044"
"SE";"AMPARO DE SÃO FRANCISCO";"PATRI";"8";"0,005"
"SE";"AMPARO DE SÃO FRANCISCO";"PC DO B";"50";"0,028"
"SE";"AMPARO DE SÃO FRANCISCO";"PDT";"28";"0,016"
"SE";"AMPARO DE SÃO FRANCISCO";"PHS";"23";"0,013"
"SE";"AMPARO DE SÃO FRANCISCO";"PMN";"3";"0,002"
"SE";"AMPARO DE SÃO FRANCISCO";"PODE";"6";"0,003"
"SE";"AMPARO DE SÃO FRANCISCO";"PP";"43";"0,024"
"SE";"AMPARO DE SÃO FRANCISCO";"PPS";"53";"0,030"
"SE";"AMPARO DE SÃO FRANCISCO";"PR";"27";"0,015"
"SE";"AMPARO DE SÃO FRANCISCO";"PRB";"40";"0,023"
"SE";"AMPARO DE SÃO FRANCISCO";"PRP";"1";"0,001"
"SE";"AMPARO DE SÃO FRANCISCO";"PRTB";"4";"0,002"
"SE";"AMPARO DE SÃO FRANCISCO";"PSB";"78";"0,044"
"SE";"AMPARO DE SÃO FRANCISCO";"PSC";"30";"0,017"
"SE";"AMPARO DE SÃO FRANCISCO";"PSD";"27";"0,015"
"SE";"AMPARO DE SÃO FRANCISCO";"PSDB";"22";"0,012"
"SE";"AMPARO DE SÃO FRANCISCO";"PSL";"7";"0,004"
"SE";"AMPARO DE SÃO FRANCISCO";"PSOL";"2";"0,001"
"SE";"AMPARO DE SÃO FRANCISCO";"PT";"58";"0,033"
"SE";"AMPARO DE SÃO FRANCISCO";"PTB";"67";"0,038"
"SE";"AMPARO DE SÃO FRANCISCO";"PTC";"60";"0,034"
"SE";"AMPARO DE SÃO FRANCISCO";"PV";"1";"0,001"
"SE";"AMPARO DE SÃO FRANCISCO";"REDE";"23";"0,013"
"SE";"AQUIDABÃ";"AVANTE";"41";"0,023"
