"UF";"Abrangência";"Partido";"Eleitores";"%"
"SP";"ADAMANTINA";"AVANTE";"3";"0,000"
"SP";"ADAMANTINA";"CIDADANIA";"108";"0,004"
"SP";"ADAMANTINA";"DC";"83";"0,003"
"SP";"ADAMANTINA";"DEM";"222";"0,007"
"SP";"ADAMANTINA";"MDB";"246";"0,008"
"SP";"ADAMANTINA";"NOVO";"1";"0,000"
"SP";"ADAMANTINA";"PATRIOTA";"21";"0,001"
"SP";"ADAMANTINA";"PCDOB";"5";"0,000"
"SP";"ADAMANTINA";"PCO";"1";"0,000"
"SP";"ADAMANTINA";"PDT";"81";"0,003"
"SP";"ADAMANTINA";"PL";"150";"0,005"
"SP";"ADAMANTINA";"PMN";"1";"0,000"
"SP";"ADAMANTINA";"PODE";"50";"0,002"
"SP";"ADAMANTINA";"PP";"332";"0,011"
"SP";"ADAMANTINA";"PROS";"2";"0,000"
"SP";"ADAMANTINA";"PRTB";"66";"0,002"
"SP";"ADAMANTINA";"PSB";"73";"0,002"
"SP";"ADAMANTINA";"PSC";"15";"0,001"
"SP";"ADAMANTINA";"PSD";"23";"0,001"
"SP";"ADAMANTINA";"PSDB";"356";"0,012"
"SP";"ADAMANTINA";"PSL";"1";"0,000"
"SP";"ADAMANTINA";"PSOL";"30";"0,001"
"SP";"ADAMANTINA";"PT";"162";"0,005"
"SP";"ADAMANTINA";"PTB";"293";"0,010"
"SP";"ADAMANTINA";"PTC";"4";"0,000"
"SP";"ADAMANTINA";"PV";"219";"0,007"
"SP";"ADAMANTINA";"REDE";"1";"0,000"
"SP";"ADAMANTINA";"REPUBLICANOS";"83";"0,003"
"SP";"ADOLFO";"CIDADANIA";"67";"0,002"
"SP";"ADOLFO";"DC";"3";"0,000"
"SP";"ADOLFO";"DEM";"100";"0,003"
"SP";"ADOLFO";"MDB";"101";"0,003"
"SP";"ADOLFO";"NOVO";"1";"0,000"
"SP";"ADOLFO";"PATRIOTA";"3";"0,000"
"SP";"ADOLFO";"PCB";"1";"0,000"
"SP";"ADOLFO";"PCDOB";"1";"0,000"
"SP";"ADOLFO";"PDT";"17";"0,001"
"SP";"ADOLFO";"PL";"6";"0,000"
"SP";"ADOLFO";"PMN";"1";"0,000"
"SP";"ADOLFO";"PODE";"16";"0,001"
"SP";"ADOLFO";"PP";"91";"0,003"
"SP";"ADOLFO";"PSB";"41";"0,001"
"SP";"ADOLFO";"PSC";"1";"0,000"
"SP";"ADOLFO";"PSD";"10";"0,000"
"SP";"ADOLFO";"PSDB";"332";"0,011"
"SP";"ADOLFO";"PSL";"2";"0,000"
"SP";"ADOLFO";"PSOL";"2";"0,000"
"SP";"ADOLFO";"PSTU";"1";"0,000"
"SP";"ADOLFO";"PT";"58";"0,002"
"SP";"ADOLFO";"PTB";"69";"0,002"
"SP";"ADOLFO";"PTC";"1";"0,000"
"SP";"ADOLFO";"PV";"26";"0,001"
"SP";"ADOLFO";"REPUBLICANOS";"115";"0,004"
"SP";"ADOLFO";"SOLIDARIEDADE";"21";"0,001"
"SP";"AGUAÍ";"AVANTE";"5";"0,000"
"SP";"AGUAÍ";"CIDADANIA";"441";"0,015"
"SP";"AGUAÍ";"DC";"7";"0,000"
"SP";"AGUAÍ";"DEM";"154";"0,005"
"SP";"AGUAÍ";"MDB";"330";"0,011"
"SP";"AGUAÍ";"NOVO";"1";"0,000"
"SP";"AGUAÍ";"PATRIOTA";"132";"0,004"
"SP";"AGUAÍ";"PCDOB";"28";"0,001"
"SP";"AGUAÍ";"PDT";"109";"0,004"
"SP";"AGUAÍ";"PL";"195";"0,007"
"SP";"AGUAÍ";"PMN";"36";"0,001"
"SP";"AGUAÍ";"PODE";"106";"0,004"
"SP";"AGUAÍ";"PP";"69";"0,002"
"SP";"AGUAÍ";"PROS";"19";"0,001"
"SP";"AGUAÍ";"PRTB";"10";"0,000"
"SP";"AGUAÍ";"PSB";"39";"0,001"
"SP";"AGUAÍ";"PSC";"137";"0,005"
"SP";"AGUAÍ";"PSD";"96";"0,003"
"SP";"AGUAÍ";"PSDB";"262";"0,009"
"SP";"AGUAÍ";"PSL";"34";"0,001"
"SP";"AGUAÍ";"PSOL";"9";"0,000"
"SP";"AGUAÍ";"PSTU";"1";"0,000"
"SP";"AGUAÍ";"PT";"223";"0,007"
"SP";"AGUAÍ";"PTB";"192";"0,006"
"SP";"AGUAÍ";"PTC";"2";"0,000"
"SP";"AGUAÍ";"PV";"156";"0,005"
"SP";"AGUAÍ";"REDE";"10";"0,000"
"SP";"AGUAÍ";"REPUBLICANOS";"60";"0,002"
"SP";"AGUAÍ";"SOLIDARIEDADE";"69";"0,002"
"SP";"ÁGUAS DA PRATA";"AVANTE";"15";"0,001"
"SP";"ÁGUAS DA PRATA";"CIDADANIA";"32";"0,001"
"SP";"ÁGUAS DA PRATA";"DEM";"22";"0,001"
"SP";"ÁGUAS DA PRATA";"MDB";"92";"0,003"
"SP";"ÁGUAS DA PRATA";"NOVO";"1";"0,000"
"SP";"ÁGUAS DA PRATA";"PATRIOTA";"29";"0,001"
"SP";"ÁGUAS DA PRATA";"PCDOB";"1";"0,000"
"SP";"ÁGUAS DA PRATA";"PDT";"10";"0,000"
"SP";"ÁGUAS DA PRATA";"PL";"22";"0,001"
"SP";"ÁGUAS DA PRATA";"PMN";"1";"0,000"
"SP";"ÁGUAS DA PRATA";"PODE";"1";"0,000"
"SP";"ÁGUAS DA PRATA";"PP";"60";"0,002"
"SP";"ÁGUAS DA PRATA";"PSB";"8";"0,000"
"SP";"ÁGUAS DA PRATA";"PSC";"84";"0,003"
"SP";"ÁGUAS DA PRATA";"PSD";"68";"0,002"
"SP";"ÁGUAS DA PRATA";"PSDB";"117";"0,004"
"SP";"ÁGUAS DA PRATA";"PSOL";"2";"0,000"
"SP";"ÁGUAS DA PRATA";"PT";"67";"0,002"
"SP";"ÁGUAS DA PRATA";"PTB";"55";"0,002"
"SP";"ÁGUAS DA PRATA";"PV";"44";"0,001"
"SP";"ÁGUAS DA PRATA";"SOLIDARIEDADE";"13";"0,000"
"SP";"ÁGUAS DE LINDÓIA";"AVANTE";"1";"0,000"
"SP";"ÁGUAS DE LINDÓIA";"CIDADANIA";"55";"0,002"
"SP";"ÁGUAS DE LINDÓIA";"DC";"14";"0,000"
"SP";"ÁGUAS DE LINDÓIA";"DEM";"189";"0,006"
"SP";"ÁGUAS DE LINDÓIA";"MDB";"144";"0,005"
"SP";"ÁGUAS DE LINDÓIA";"NOVO";"3";"0,000"
"SP";"ÁGUAS DE LINDÓIA";"PATRIOTA";"5";"0,000"
"SP";"ÁGUAS DE LINDÓIA";"PCDOB";"2";"0,000"
"SP";"ÁGUAS DE LINDÓIA";"PDT";"97";"0,003"
"SP";"ÁGUAS DE LINDÓIA";"PL";"22";"0,001"
